user_daily_id,user_id,date_id,rides_requested,rides_completed,total_spend,incentives_used
161,15,20240202,1,1,16.08,0
162,15,20240218,1,1,54.81,1
163,15,20240302,1,1,28.28,0
164,15,20240303,1,0,10.91,0
165,15,20240306,1,1,32.6,0
166,15,20240315,1,1,14.58,0
167,15,20240320,1,1,8.07,1
168,15,20240322,1,1,3.43,0
169,16,20240106,1,1,7.18,1
170,16,20240128,1,1,2.07,0
171,16,20240209,1,1,115.16,0
172,16,20240219,1,1,18.58,0
173,16,20240224,1,0,12.33,1
174,17,20240101,1,1,50.94,0
175,17,20240102,1,0,19.89,1
176,17,20240202,1,0,10.62,0
177,17,20240212,1,1,2.78,1
178,17,20240229,1,1,2.18,0
179,17,20240313,1,1,11.91,0
180,17,20240322,2,2,6.4399999999999995,1
181,17,20240323,1,1,8.99,0
182,17,20240324,1,0,40.03,0
183,17,20240325,1,1,54.42,0
184,18,20240104,1,1,19.15,0
185,18,20240105,1,1,3.79,1
186,18,20240122,1,0,8.65,1
187,18,20240303,1,0,55.2,0
188,18,20240310,1,1,62.45,1
189,18,20240320,1,1,47.12,1
190,19,20240101,1,1,5.58,1
191,19,20240106,1,1,113.31,1
192,19,20240117,1,1,23.56,1
193,19,20240126,1,1,59.94,1
194,19,20240316,2,2,16.189999999999998,0
195,19,20240318,1,0,17.82,0
196,19,20240319,1,1,53.37,1
197,19,20240321,1,0,6.57,0
198,19,20240331,1,1,7.28,0
199,20,20240111,1,1,1.22,0
200,20,20240125,1,0,10.27,1
201,20,20240201,1,1,7.93,0
202,20,20240203,1,1,5.61,1
203,20,20240301,1,1,7.8,0
204,20,20240318,1,0,25.78,0
205,20,20240322,1,1,25.46,0
206,20,20240324,1,1,17.83,1
207,21,20240113,1,0,25.32,1
208,21,20240117,1,1,6.37,0
209,21,20240207,1,1,20.36,0
210,21,20240208,1,1,1.52,1
211,21,20240210,1,1,7.91,0
212,21,20240313,1,1,6.92,1
213,21,20240314,1,1,0.59,0
214,21,20240322,1,1,0.65,1
215,22,20240127,1,1,16.06,0
216,22,20240201,1,1,1.66,0
217,22,20240304,1,1,35.02,1
218,22,20240313,1,1,5.34,1
219,22,20240320,1,0,19.17,0
220,22,20240322,1,1,36.9,1
221,23,20240109,1,1,23.76,1
222,23,20240115,1,1,10.28,0
223,23,20240217,1,1,23.89,0
224,23,20240222,1,1,20.5,0
225,23,20240303,1,1,9.6,0
226,23,20240312,1,1,18.52,0
227,24,20240114,1,1,42.57,0
228,24,20240201,1,1,115.62,0
229,24,20240228,1,1,24.53,1
230,24,20240317,1,1,54.07,1
231,24,20240329,1,1,3.24,1
232,25,20240104,1,0,9.88,0
233,25,20240115,1,0,81.06,0
234,25,20240119,1,1,26.56,1
235,25,20240125,1,1,16.32,0
236,25,20240126,1,1,8.19,0
237,25,20240202,1,0,54.93,0
238,25,20240213,1,0,0.69,0
239,25,20240219,1,1,27.48,0
240,25,20240227,1,1,21.14,1
241,25,20240305,1,1,18.25,1
242,25,20240313,1,0,2.48,0
243,25,20240320,1,0,32.68,0
244,25,20240330,1,1,12.4,1
245,26,20240102,1,1,39.94,0
246,26,20240103,1,1,41.56,0
247,26,20240109,1,1,25.3,0
248,26,20240114,1,1,11.52,1
249,26,20240115,1,1,0.53,1
250,26,20240121,1,1,23.18,1
251,26,20240123,1,1,32.42,0
252,26,20240126,1,1,8.08,0
253,26,20240210,1,0,1.42,0
254,26,20240214,1,1,13.1,0
255,26,20240215,1,1,58.0,1
256,26,20240223,1,1,31.89,1
257,26,20240228,1,1,21.55,1
258,26,20240302,1,1,8.69,0
259,26,20240304,1,1,2.32,1
260,27,20240105,1,0,13.04,1
261,27,20240109,1,1,72.11,0
262,27,20240115,1,1,52.94,1
263,27,20240130,1,1,19.3,0
264,27,20240220,1,1,16.97,0
265,27,20240301,1,1,21.49,0
266,27,20240319,1,1,1.81,0
267,27,20240321,1,1,19.74,1
268,27,20240331,1,1,15.12,0
269,28,20240111,1,1,24.91,1
270,28,20240112,1,1,29.09,0
271,28,20240113,1,1,7.59,1
272,28,20240115,1,1,26.09,1
273,28,20240129,1,1,9.9,1
274,28,20240201,1,1,10.59,0
275,28,20240317,1,0,122.98,0
276,29,20240109,1,1,62.28,0
277,29,20240111,1,1,2.92,0
278,29,20240114,2,2,16.36,1
279,29,20240115,1,1,63.89,1
280,29,20240125,2,2,131.92000000000002,1
281,29,20240127,1,1,15.62,1
282,29,20240216,1,1,0.74,1
283,29,20240217,1,0,5.47,0
284,29,20240222,1,1,5.9,1
285,29,20240223,1,0,15.02,1
286,29,20240225,1,1,5.23,0
287,29,20240227,1,1,4.16,0
288,29,20240313,1,0,5.23,0
289,29,20240317,1,1,8.33,0
290,30,20240208,1,1,17.1,0
291,30,20240214,1,0,3.91,0
292,30,20240218,1,1,16.24,1
293,30,20240227,1,1,32.8,1
294,30,20240304,1,1,47.67,0
295,30,20240307,1,1,2.0,1
296,30,20240329,1,1,86.22,1
297,30,20240331,1,1,32.58,0
298,31,20240104,2,0,44.46,0
299,31,20240116,1,0,2.42,0
300,31,20240125,1,1,0.62,0
301,31,20240311,1,1,37.66,1
302,31,20240319,1,1,8.21,0
303,31,20240323,1,1,0.47,0
304,32,20240118,1,1,4.6,0
305,32,20240129,1,1,18.26,0
306,32,20240208,1,0,0.49,0
307,32,20240211,1,1,5.88,1
308,32,20240215,2,2,82.89,2
309,32,20240302,2,1,27.91,0
310,32,20240306,1,1,5.67,0
311,32,20240316,1,1,21.31,1
312,32,20240329,2,2,84.26,0
313,33,20240102,1,1,11.51,0
314,33,20240108,1,1,19.23,1
315,33,20240113,1,1,39.26,1
316,33,20240207,1,1,15.38,0
317,33,20240209,1,1,49.12,0
318,33,20240217,1,0,19.63,1
319,33,20240218,1,1,21.86,0
320,33,20240225,1,1,15.07,0
321,33,20240313,1,0,27.89,1
322,33,20240314,1,0,45.57,1
323,34,20240103,1,0,5.33,1
324,34,20240123,1,1,4.43,1
325,34,20240202,1,1,37.82,1
326,34,20240222,1,1,11.79,0
327,34,20240224,1,1,3.18,1
328,34,20240315,2,1,77.92999999999999,0
329,34,20240328,1,1,32.19,0
330,35,20240105,1,1,62.83,0
331,35,20240117,1,1,10.09,0
332,35,20240129,1,1,6.79,0
333,35,20240131,1,1,5.64,0
334,35,20240226,1,1,144.85,0
335,35,20240227,3,3,35.76,1
336,35,20240302,2,1,6.96,1
337,35,20240311,1,1,41.87,1
338,35,20240320,1,1,26.88,0
339,35,20240327,1,1,49.03,0
340,36,20240108,1,1,18.94,0
341,36,20240110,1,1,45.74,1
342,36,20240113,1,1,4.75,0
343,36,20240122,1,0,16.88,1
344,36,20240129,1,0,17.48,0
345,36,20240215,1,1,76.63,1
346,36,20240301,1,1,38.18,0
347,36,20240307,1,1,13.29,1
348,36,20240312,1,1,18.89,1
349,36,20240314,1,1,18.74,0
350,36,20240317,1,0,16.25,0
351,36,20240326,1,1,16.48,1
352,37,20240111,1,1,59.24,0
353,37,20240113,1,0,0.94,1
354,37,20240114,1,1,4.81,0
355,37,20240127,1,1,1.84,1
356,37,20240128,2,2,7.74,0
357,37,20240208,1,1,5.34,0
358,37,20240209,1,0,18.56,1
359,37,20240214,1,1,15.87,0
360,37,20240227,1,1,0.72,0
361,37,20240302,1,1,45.86,1
362,37,20240312,2,2,61.61,1
363,37,20240313,1,1,123.63,0
364,37,20240319,1,1,5.29,0
365,37,20240323,1,0,48.67,0
366,38,20240106,1,1,44.58,0
367,38,20240111,1,1,76.62,0
368,38,20240129,1,1,10.51,0
369,38,20240203,1,1,64.57,1
370,38,20240204,1,1,22.98,0
371,38,20240205,1,1,15.53,0
372,38,20240216,1,1,16.91,1
373,38,20240305,1,1,23.89,1
374,38,20240311,1,1,49.17,1
375,38,20240312,1,1,43.09,0
376,38,20240326,1,1,35.03,0
377,39,20240108,1,1,59.83,0
378,39,20240115,1,1,3.43,0
379,39,20240116,1,1,10.79,1
380,39,20240122,1,1,99.72,1
381,39,20240123,1,0,46.92,1
382,39,20240205,1,0,17.08,1
383,39,20240217,1,1,46.48,0
384,39,20240224,1,1,6.59,0
385,39,20240301,1,1,2.79,1
386,39,20240303,1,1,29.48,0
387,39,20240310,1,1,48.42,0
388,39,20240312,1,1,11.28,1
389,39,20240314,1,1,79.09,0
390,39,20240318,1,0,9.77,0
391,39,20240323,1,1,19.32,0
392,39,20240325,1,1,6.08,0
393,39,20240327,1,1,29.4,0
394,40,20240101,1,1,23.93,1
395,40,20240201,1,1,27.31,1
396,40,20240203,1,1,0.98,1
397,40,20240214,1,1,12.78,0
398,40,20240222,1,1,12.51,1
399,40,20240228,1,1,9.65,1
400,40,20240302,1,1,5.37,0
401,40,20240306,1,0,9.68,1
402,40,20240311,1,1,0.47,0
403,40,20240316,1,1,5.73,1
404,40,20240318,1,0,2.32,1
405,40,20240325,1,0,20.04,0
406,41,20240110,1,1,0.36,1
407,41,20240205,1,1,47.41,1
408,41,20240210,1,1,16.68,1
409,41,20240306,1,0,10.16,1
410,41,20240314,1,1,20.16,1
411,41,20240326,1,1,21.29,1
412,41,20240331,1,1,8.02,0
413,42,20240106,1,0,32.14,0
414,42,20240118,1,1,1.27,0
415,42,20240119,1,0,21.04,0
416,42,20240129,1,1,13.55,0
417,42,20240202,1,0,8.43,0
418,42,20240218,1,1,38.57,0
419,42,20240227,1,1,7.53,1
420,42,20240308,2,2,6.12,1
421,42,20240322,1,0,32.31,0
422,42,20240329,1,0,14.06,1
423,43,20240119,2,2,209.42999999999998,1
424,43,20240206,1,1,24.07,1
425,43,20240305,1,0,15.13,1
426,44,20240110,1,0,37.22,1
427,44,20240111,1,1,28.23,1
428,44,20240113,1,1,68.17,1
429,44,20240123,1,1,28.01,1
430,44,20240129,1,1,131.99,0
431,44,20240201,1,1,1.09,1
432,44,20240210,1,1,14.84,1
433,44,20240302,1,1,58.73,0
434,44,20240321,1,1,31.99,0
435,45,20240103,1,1,26.68,0
436,45,20240105,2,2,19.32,1
437,45,20240110,1,1,14.19,0
438,45,20240114,1,1,10.56,1
439,45,20240222,1,1,0.05,1
440,45,20240224,1,1,1.72,1
441,45,20240304,1,1,16.25,0
442,45,20240312,1,1,7.71,0
443,45,20240313,1,1,22.16,1
444,46,20240102,1,1,117.74,0
445,46,20240117,1,1,60.86,0
446,46,20240127,1,0,20.51,0
447,46,20240207,2,1,47.980000000000004,1
448,46,20240220,1,1,15.44,0
449,46,20240228,1,1,12.2,1
450,46,20240229,1,1,4.05,1
451,46,20240304,1,0,22.07,0
452,46,20240306,1,1,32.66,0
453,46,20240310,1,0,45.95,1
454,46,20240317,1,1,116.73,0
455,46,20240318,1,1,23.87,1
456,46,20240328,1,1,4.82,1
457,47,20240101,1,1,18.23,0
458,47,20240102,1,0,104.77,1
459,47,20240106,1,1,2.94,0
460,47,20240118,1,1,4.65,0
461,47,20240122,1,0,1.13,0
462,47,20240202,1,1,6.9,0
463,47,20240207,1,1,29.91,1
464,47,20240211,1,1,53.21,0
465,47,20240215,1,1,116.03,1
466,47,20240216,1,1,34.41,1
467,47,20240221,1,1,1.73,1
468,47,20240223,1,0,3.55,0
469,47,20240303,1,0,4.32,1
470,47,20240305,1,1,18.74,0
471,47,20240306,1,1,1.7,0
472,47,20240317,1,1,9.93,1
473,47,20240321,1,1,18.97,0
474,47,20240322,1,1,97.88,0
475,47,20240324,1,1,10.38,0
476,47,20240326,1,1,3.29,0
477,48,20240114,1,0,25.94,0
478,48,20240201,1,1,15.92,0
479,48,20240215,1,0,5.0,1
480,48,20240218,1,1,8.25,0
481,48,20240308,1,1,24.1,1
482,49,20240103,1,1,4.26,0
483,49,20240108,1,1,4.8,1
484,49,20240125,1,1,41.19,0
485,49,20240201,1,1,1.0,0
486,49,20240206,1,1,27.36,1
487,49,20240213,1,1,10.42,1
488,49,20240218,1,1,51.28,0
489,49,20240221,1,1,11.01,1
490,49,20240222,2,2,27.52,0
491,49,20240223,1,1,15.26,1
492,49,20240305,1,0,21.06,0
493,49,20240309,1,1,7.13,1
494,49,20240315,1,1,32.47,1
495,49,20240330,1,1,27.75,1
496,50,20240103,1,0,1.81,0
497,50,20240123,1,1,14.13,1
498,50,20240131,1,1,17.29,0
499,50,20240221,1,1,7.56,0
500,50,20240222,1,0,81.91,1
501,50,20240304,1,1,81.53,0
502,50,20240309,1,1,0.94,0
503,50,20240327,1,1,12.69,1
504,51,20240120,1,0,2.35,1
505,51,20240131,1,0,12.18,0
506,51,20240219,1,1,79.76,0
507,51,20240303,1,0,13.0,1
508,51,20240310,1,0,0.3,0
509,51,20240315,1,1,23.26,1
510,51,20240324,1,0,25.3,0
511,51,20240329,1,1,18.37,1
512,52,20240120,1,1,23.64,1
513,52,20240123,1,1,5.88,0
514,52,20240202,1,1,17.13,0
515,52,20240225,1,1,10.98,0
516,52,20240311,1,1,18.65,1
517,53,20240111,1,1,6.86,0
518,53,20240118,1,1,1.95,1
519,53,20240202,1,1,17.89,0
520,53,20240204,1,1,65.58,1
521,53,20240213,1,1,11.56,0
522,53,20240301,1,0,9.49,0
523,53,20240302,1,1,33.39,1
524,53,20240315,1,0,2.66,1
525,53,20240320,1,0,4.91,0
526,53,20240324,1,1,27.19,1
527,54,20240120,1,1,12.62,0
528,54,20240203,1,1,22.24,0
529,54,20240207,1,0,10.07,0
530,54,20240208,1,1,0.37,0
531,54,20240210,1,1,1.85,1
532,54,20240219,1,1,67.71,0
533,54,20240225,1,1,14.27,0
534,54,20240226,1,1,23.23,1
535,54,20240327,1,1,2.91,0
536,54,20240330,1,0,33.54,1
537,55,20240114,1,0,7.73,0
538,55,20240116,1,1,35.51,1
539,55,20240118,1,1,0.16,1
540,55,20240123,1,1,50.96,0
541,55,20240206,2,2,56.64,1
542,55,20240211,1,1,20.7,0
543,55,20240223,1,0,6.92,0
544,55,20240307,1,1,76.05,0
545,55,20240313,1,1,105.02,1
546,55,20240316,1,1,2.36,0
547,55,20240317,1,1,28.48,0
548,55,20240324,1,1,35.62,0
549,55,20240327,1,1,133.0,1
550,56,20240125,1,1,11.88,1
551,56,20240126,1,0,20.73,1
552,56,20240211,2,2,122.37,0
553,56,20240218,1,1,69.91,1
554,56,20240220,1,1,21.34,0
555,56,20240221,1,1,4.62,0
556,56,20240311,1,1,16.83,0
557,56,20240312,1,1,131.24,0
558,56,20240329,1,1,1.96,1
559,57,20240124,1,1,5.54,1
560,57,20240204,1,1,39.74,1
561,57,20240221,1,0,60.77,0
562,57,20240302,1,1,10.49,0
563,57,20240304,1,1,4.73,1
564,57,20240311,1,1,27.66,1
565,57,20240312,1,1,24.68,1
566,57,20240322,1,0,22.62,0
567,57,20240330,1,1,5.05,0
568,58,20240102,1,1,2.6,0
569,58,20240106,1,1,0.66,1
570,58,20240209,1,1,17.28,1
571,58,20240210,1,1,14.1,0
572,58,20240304,1,1,29.91,0
573,58,20240325,1,1,0.38,0
574,58,20240327,1,1,6.7,0
575,59,20240103,1,1,51.6,0
576,59,20240104,1,1,10.97,1
577,59,20240122,1,1,4.84,0
578,59,20240131,1,1,48.13,0
579,59,20240203,1,1,5.68,1
580,59,20240220,1,1,14.12,0
581,59,20240301,1,1,21.22,0
582,59,20240302,1,1,5.04,0
583,59,20240307,1,1,13.46,0
584,59,20240315,1,0,7.93,0
585,60,20240109,1,1,186.26,0
586,60,20240110,1,1,14.9,1
587,60,20240111,1,1,0.04,0
588,60,20240115,1,1,0.79,0
589,60,20240123,1,1,40.07,0
590,60,20240125,1,1,1.55,1
591,60,20240202,1,1,20.74,0
592,60,20240211,1,1,31.52,0
593,60,20240219,1,1,6.02,1
594,60,20240227,1,1,19.13,0
595,60,20240305,1,1,41.55,1
596,60,20240319,1,1,62.95,0
597,60,20240331,1,1,7.91,0
598,61,20240129,1,1,0.42,1
599,61,20240131,1,0,2.81,1
600,61,20240204,1,1,8.09,0
601,61,20240225,1,1,4.81,0
602,61,20240311,1,1,22.55,0
603,61,20240320,1,1,5.84,1
604,61,20240323,1,1,32.26,1
605,61,20240327,1,1,15.34,0
606,61,20240328,1,1,1.44,0
607,62,20240106,1,1,26.37,1
608,62,20240131,1,1,10.57,0
609,62,20240212,1,0,60.92,0
610,62,20240227,1,1,11.94,0
611,62,20240306,1,1,5.13,1
612,62,20240307,1,1,3.76,1
613,62,20240312,1,0,49.42,1
614,62,20240313,1,1,50.98,0
615,62,20240316,1,1,37.72,1
616,62,20240317,1,1,13.12,1
617,62,20240321,1,0,28.38,1
618,62,20240326,1,1,10.14,0
619,62,20240327,1,1,0.76,1
620,63,20240103,1,0,13.51,1
621,63,20240128,1,1,151.85,1
622,63,20240216,1,0,10.03,0
623,63,20240221,1,1,9.99,1
624,63,20240229,1,1,30.69,1
625,63,20240302,1,0,8.59,1
626,63,20240306,1,1,15.49,0
627,63,20240307,2,1,52.99,1
628,63,20240308,1,1,70.0,1
629,63,20240311,1,1,0.8,0
630,63,20240316,1,1,20.58,1
631,63,20240330,1,0,10.55,1
632,63,20240331,1,1,25.39,0
633,64,20240104,1,0,2.23,0
634,64,20240107,1,1,17.49,1
635,64,20240111,1,1,36.82,0
636,64,20240124,1,1,11.56,1
637,64,20240203,1,1,3.22,0
638,64,20240310,1,1,5.76,1
639,64,20240319,1,1,56.3,0
640,64,20240320,1,1,23.2,1
641,64,20240322,1,1,17.94,0
642,64,20240324,1,1,13.86,1
643,65,20240103,1,0,57.24,1
644,65,20240114,1,1,8.67,0
645,65,20240125,1,1,2.25,1
646,65,20240206,1,1,0.21,1
647,65,20240211,1,1,24.01,1
648,65,20240328,1,0,11.84,0
649,65,20240329,1,0,51.42,0
650,66,20240117,1,0,0.22,0
651,66,20240121,1,1,26.26,0
652,66,20240209,1,0,264.86,1
653,66,20240302,1,1,7.06,1
654,66,20240309,1,1,8.86,0
655,66,20240321,1,1,26.5,0
656,67,20240109,1,0,23.92,1
657,67,20240201,1,1,42.28,1
658,67,20240217,1,1,10.44,1
659,67,20240219,1,0,62.68,0
660,67,20240229,1,1,11.45,1
661,67,20240301,1,1,3.33,1
662,67,20240316,1,1,146.82,0
663,67,20240321,1,0,68.95,0
664,67,20240326,1,1,12.16,0
665,67,20240328,1,1,5.09,1
666,68,20240104,1,1,23.77,1
667,68,20240111,1,1,10.45,1
668,68,20240130,2,2,30.18,1
669,68,20240215,1,1,9.06,0
670,68,20240216,1,1,21.52,1
671,68,20240227,1,1,2.13,0
672,68,20240305,1,1,52.56,0
673,68,20240312,1,1,5.86,0
674,68,20240313,1,1,4.76,1
675,68,20240325,1,1,14.06,1
676,69,20240102,1,1,17.08,0
677,69,20240119,1,1,27.9,0
678,69,20240130,1,1,1.42,0
679,69,20240202,1,1,9.09,0
680,69,20240209,1,1,53.14,1
681,69,20240220,1,1,5.96,0
682,69,20240306,1,1,0.42,1
683,69,20240313,1,1,2.89,1
684,69,20240329,1,1,201.7,1
685,70,20240111,1,1,71.37,0
686,70,20240117,1,1,6.23,1
687,70,20240121,1,1,0.43,1
688,70,20240125,1,1,39.15,1
689,70,20240128,1,1,4.54,1
690,70,20240207,1,1,14.25,0
691,70,20240210,1,1,18.73,1
692,70,20240221,1,0,60.91,0
693,70,20240322,1,1,14.29,1
694,70,20240329,1,0,49.02,1
695,71,20240217,1,1,7.57,0
696,71,20240326,2,2,45.49,0
697,72,20240106,1,0,17.58,0
698,72,20240109,1,0,15.82,0
699,72,20240110,1,1,39.61,1
700,72,20240113,1,1,7.29,0
701,72,20240115,1,0,6.75,0
702,72,20240118,1,1,0.36,1
703,72,20240125,1,1,15.71,1
704,72,20240128,1,1,0.34,0
705,72,20240212,2,0,90.07,2
706,72,20240307,1,1,75.92,0
707,72,20240308,1,1,65.02,0
708,72,20240309,1,1,1.71,0
709,72,20240316,1,1,21.47,1
710,72,20240328,1,0,11.58,0
711,73,20240101,1,1,12.88,1
712,73,20240111,1,1,1.31,1
713,73,20240118,1,1,12.94,0
714,73,20240125,1,0,65.96,0
715,73,20240126,1,1,3.0,1
716,73,20240131,1,0,5.38,1
717,73,20240206,1,1,18.84,1
718,73,20240310,1,1,85.75,0
719,73,20240318,1,0,1.89,1
720,74,20240109,1,0,48.55,0
721,74,20240115,1,1,4.39,1
722,74,20240117,1,1,4.32,0
723,74,20240203,1,1,15.01,0
724,74,20240213,1,1,0.93,0
725,74,20240220,1,1,10.56,0
726,74,20240302,1,1,8.55,1
727,74,20240303,1,1,13.07,1
728,74,20240305,1,0,33.06,1
729,74,20240315,1,1,2.55,0
730,74,20240328,1,1,12.87,1
731,75,20240113,1,1,9.01,1
732,75,20240118,1,1,43.9,1
733,75,20240119,1,0,77.01,0
734,75,20240128,1,1,9.38,1
735,75,20240208,1,1,53.06,0
736,75,20240224,1,1,11.45,1
737,75,20240227,1,1,30.75,0
738,75,20240229,1,1,7.06,1
739,75,20240323,1,1,5.11,0
740,76,20240101,1,1,18.28,0
741,76,20240108,1,1,30.51,0
742,76,20240114,1,0,9.33,0
743,76,20240124,1,0,27.58,0
744,76,20240130,1,0,10.11,0
745,76,20240202,1,1,1.04,0
746,76,20240206,1,1,6.55,0
747,76,20240208,1,1,13.97,1
748,76,20240217,1,1,45.4,1
749,76,20240305,1,0,35.21,0
750,76,20240309,1,1,5.51,1
751,77,20240111,1,1,76.8,0
752,77,20240124,1,1,37.83,0
753,77,20240131,1,1,61.42,0
754,77,20240308,1,1,42.86,0
755,77,20240313,1,1,29.53,1
756,77,20240319,1,1,49.41,0
757,77,20240326,2,2,75.96000000000001,2
758,78,20240108,1,0,99.19,0
759,78,20240120,1,1,22.18,1
760,78,20240126,1,1,57.09,0
761,78,20240203,1,1,65.23,1
762,78,20240223,1,1,38.84,0
763,78,20240310,1,1,1.22,0
764,78,20240312,1,0,2.59,1
765,78,20240317,1,1,29.08,1
766,78,20240318,1,1,2.0,0
767,78,20240322,1,1,82.12,0
768,78,20240323,1,1,47.03,0
769,79,20240202,1,1,25.51,0
770,79,20240211,1,1,13.32,0
771,79,20240215,1,1,24.85,1
