experiment_event_id,experiment_id,user_id,exposure_date_id,variant,conversion_flag
218,2,70,20240115,treatment,1
219,1,71,20240222,control,0
220,2,73,20240310,treatment,1
221,2,168,20240113,control,1
222,1,127,20240304,control,0
223,2,148,20240315,treatment,0
224,1,153,20240129,treatment,1
225,2,172,20240202,control,1
226,2,189,20240310,control,1
227,2,86,20240206,treatment,1
228,1,177,20240119,treatment,1
229,2,119,20240104,treatment,1
230,1,53,20240321,control,1
231,1,124,20240122,treatment,1
232,2,162,20240211,control,0
233,2,139,20240330,control,0
234,2,191,20240308,treatment,0
235,1,187,20240326,treatment,0
236,2,148,20240107,treatment,1
237,2,90,20240302,control,1
238,2,150,20240324,treatment,0
239,2,92,20240227,control,1
240,2,24,20240103,treatment,0
241,1,4,20240101,control,0
242,1,27,20240321,control,0
243,2,106,20240117,treatment,1
244,1,23,20240322,control,1
245,2,103,20240324,control,0
246,2,94,20240107,treatment,1
247,1,27,20240109,treatment,1
248,1,86,20240201,treatment,0
249,1,92,20240306,treatment,0
250,2,67,20240316,treatment,1
251,1,104,20240120,treatment,1
252,2,88,20240203,control,1
253,1,63,20240121,treatment,0
254,1,119,20240328,control,0
255,2,100,20240320,treatment,0
256,2,19,20240130,treatment,1
257,2,32,20240228,control,0
258,2,80,20240308,control,0
259,2,109,20240216,treatment,1
260,2,107,20240215,treatment,1
261,2,165,20240218,control,0
262,1,31,20240130,control,0
263,1,144,20240216,treatment,0
264,1,16,20240226,treatment,0
265,2,140,20240125,control,0
266,2,36,20240314,treatment,0
267,1,145,20240211,treatment,0
268,2,50,20240226,control,0
269,2,161,20240326,control,1
270,2,141,20240229,treatment,1
271,2,12,20240111,control,0
272,1,192,20240224,control,0
273,1,158,20240316,control,1
274,2,164,20240219,control,1
275,1,17,20240111,treatment,0
276,1,174,20240201,treatment,0
277,1,150,20240103,control,0
278,1,116,20240105,treatment,1
279,1,90,20240318,control,1
280,2,163,20240216,treatment,1
281,1,53,20240222,control,1
282,1,92,20240329,treatment,1
283,2,122,20240126,control,0
284,2,182,20240229,control,0
285,1,18,20240107,control,1
286,2,200,20240229,treatment,1
287,1,23,20240203,treatment,0
288,1,48,20240120,treatment,1
289,2,92,20240130,control,1
290,1,4,20240322,treatment,1
291,1,74,20240210,control,0
292,1,15,20240102,control,0
293,2,78,20240113,treatment,1
294,2,42,20240119,treatment,1
295,2,105,20240117,treatment,0
296,1,159,20240302,control,0
297,1,104,20240301,control,0
298,2,21,20240111,treatment,0
299,1,81,20240306,treatment,1
300,1,90,20240129,treatment,1
301,1,196,20240119,treatment,0
302,1,134,20240218,treatment,1
303,2,184,20240308,treatment,1
304,1,137,20240124,treatment,1
305,1,14,20240211,treatment,1
306,1,49,20240214,treatment,1
307,1,40,20240218,treatment,0
308,2,49,20240126,treatment,1
309,2,103,20240125,treatment,1
310,2,30,20240218,treatment,1
311,2,13,20240309,control,1
312,1,58,20240306,control,0
313,2,169,20240108,control,0
314,2,121,20240120,treatment,1
315,1,140,20240128,treatment,0
316,1,66,20240224,control,1
317,1,86,20240227,control,1
318,1,42,20240110,treatment,1
319,2,98,20240128,treatment,1
320,1,130,20240324,control,1
321,2,13,20240109,control,0
322,2,135,20240114,control,0
323,2,176,20240303,control,1
324,2,100,20240321,treatment,0
325,1,124,20240222,control,1
326,1,139,20240223,treatment,1
327,1,55,20240115,treatment,1
328,1,154,20240222,treatment,1
329,2,126,20240110,control,0
330,2,49,20240115,treatment,1
331,1,167,20240225,treatment,0
332,2,183,20240128,control,1
333,1,124,20240119,treatment,0
334,1,97,20240302,control,1
335,1,71,20240219,control,1
336,1,122,20240207,control,0
337,2,125,20240328,control,0
338,1,185,20240327,control,0
339,1,78,20240202,treatment,1
340,2,15,20240108,control,0
341,2,2,20240213,treatment,1
342,2,31,20240130,treatment,0
343,2,98,20240217,control,0
344,1,60,20240315,treatment,0
345,2,116,20240125,treatment,0
346,2,193,20240226,control,0
347,2,84,20240209,control,1
348,1,107,20240210,treatment,1
349,1,157,20240120,treatment,0
350,2,6,20240112,control,0
351,2,149,20240305,control,1
352,2,84,20240316,treatment,1
353,1,41,20240330,control,1
354,1,194,20240202,control,0
355,2,59,20240324,treatment,1
356,2,46,20240222,control,0
357,2,80,20240302,control,0
358,2,16,20240303,treatment,0
359,2,54,20240107,treatment,0
360,1,82,20240324,control,0
361,1,10,20240219,control,0
362,1,26,20240127,control,0
363,2,34,20240131,control,1
364,1,131,20240101,control,1
365,1,122,20240320,treatment,1
366,2,39,20240111,control,0
367,1,1,20240122,treatment,1
368,1,65,20240309,treatment,1
369,1,137,20240102,control,0
370,1,126,20240216,control,0
371,2,135,20240111,treatment,1
372,2,113,20240323,control,0
373,1,93,20240221,control,1
374,1,136,20240228,control,0
375,1,133,20240210,treatment,1
376,2,70,20240209,treatment,0
377,2,61,20240328,treatment,1
378,1,48,20240121,control,1
379,1,63,20240202,treatment,0
380,2,31,20240216,treatment,1
381,1,50,20240226,control,0
382,1,117,20240107,treatment,1
383,1,98,20240305,treatment,1
384,1,127,20240111,treatment,1
385,2,134,20240105,control,0
386,1,62,20240113,treatment,1
387,2,1,20240105,control,0
388,2,40,20240229,treatment,1
389,1,145,20240323,treatment,0
390,1,81,20240108,treatment,0
391,2,57,20240113,control,1
392,1,77,20240109,treatment,0
393,2,68,20240113,treatment,0
394,1,85,20240123,treatment,1
395,1,133,20240122,control,0
396,2,7,20240213,control,0
397,2,166,20240308,control,0
398,2,135,20240201,treatment,1
399,2,136,20240305,control,1
400,2,7,20240318,control,0
401,1,48,20240327,treatment,1
402,2,102,20240305,control,0
403,2,53,20240211,control,0
404,1,162,20240111,treatment,0
405,1,175,20240223,control,0
406,1,76,20240126,treatment,0
407,1,25,20240111,control,1
408,1,49,20240322,treatment,1
409,1,187,20240317,treatment,0
410,1,123,20240114,treatment,1
411,2,144,20240215,treatment,0
412,1,110,20240318,treatment,0
413,1,80,20240118,control,1
414,1,66,20240105,control,0
415,1,136,20240110,control,0
416,2,158,20240303,treatment,0
417,2,155,20240207,treatment,0
418,2,28,20240114,treatment,0
419,2,176,20240202,control,0
420,1,47,20240125,treatment,1
421,1,181,20240326,control,1
422,1,132,20240215,treatment,0
423,2,156,20240104,treatment,1
424,1,145,20240322,control,0
425,2,188,20240111,treatment,1
426,2,105,20240314,control,1
427,1,81,20240201,control,1
428,2,182,20240216,control,1
429,2,200,20240227,treatment,0
430,1,72,20240330,treatment,0
431,1,78,20240108,treatment,1
432,1,76,20240315,treatment,0
433,1,19,20240118,treatment,1
434,2,10,20240322,treatment,1
435,1,45,20240117,treatment,1
436,2,127,20240317,treatment,1
437,1,10,20240114,treatment,0
438,2,131,20240123,control,0
439,2,98,20240305,treatment,1
440,2,69,20240327,control,0
441,1,3,20240306,control,0
442,1,198,20240214,control,1
443,2,67,20240102,treatment,0
444,2,50,20240331,treatment,1
445,1,195,20240211,control,0
446,1,153,20240201,control,1
447,1,50,20240104,treatment,0
448,1,175,20240222,control,0
449,2,167,20240113,control,0
450,2,181,20240312,treatment,0
451,1,123,20240115,treatment,1
452,2,200,20240217,control,1
453,2,152,20240209,treatment,1
454,2,20,20240312,treatment,0
455,1,127,20240306,treatment,1
456,1,131,20240330,control,0
457,2,38,20240114,control,1
458,2,44,20240101,treatment,0
459,2,182,20240310,treatment,0
460,2,176,20240329,treatment,0
461,2,137,20240313,treatment,0
462,2,160,20240327,treatment,1
463,2,126,20240326,control,1
464,1,28,20240111,control,1
465,2,67,20240128,control,0
466,2,86,20240317,treatment,0
467,1,68,20240120,treatment,0
468,2,55,20240306,control,1
469,1,23,20240225,control,0
470,2,158,20240105,treatment,0
471,1,42,20240206,control,1
472,2,164,20240201,control,1
473,2,154,20240126,treatment,0
474,1,159,20240313,control,1
475,1,9,20240104,treatment,0
476,2,23,20240112,treatment,0
477,1,71,20240305,control,1
478,1,70,20240211,treatment,0
479,2,190,20240101,treatment,0
480,2,88,20240326,control,0
481,2,33,20240202,control,0
482,1,172,20240315,control,1
483,2,174,20240217,control,0
484,1,61,20240319,treatment,0
485,1,171,20240220,treatment,0
486,2,5,20240214,control,0
487,1,81,20240108,control,0
488,1,131,20240130,treatment,1
489,2,70,20240319,treatment,1
490,1,176,20240222,treatment,0
491,2,56,20240122,control,1
492,1,151,20240108,treatment,0
493,1,94,20240318,control,0
494,1,128,20240104,treatment,1
495,2,153,20240301,control,0
496,2,49,20240204,treatment,0
497,2,83,20240212,treatment,0
498,2,66,20240202,control,1
499,2,79,20240214,control,1
500,1,62,20240322,control,1
501,1,124,20240126,treatment,1
502,2,89,20240103,control,0
503,2,70,20240221,control,0
504,2,106,20240221,treatment,1
505,2,33,20240117,treatment,1
506,1,69,20240124,control,0
507,1,149,20240211,control,0
508,1,192,20240302,control,0
509,2,160,20240208,control,0
510,1,177,20240128,control,1
511,1,109,20240328,control,0
512,1,33,20240307,treatment,1
513,1,94,20240122,treatment,1
514,2,178,20240302,control,1
515,2,181,20240124,control,1
516,1,120,20240309,control,1
517,1,28,20240226,control,1
518,1,152,20240206,control,0
519,1,139,20240220,control,1
520,1,121,20240107,treatment,1
521,2,120,20240325,treatment,1
522,1,82,20240110,control,1
523,1,105,20240228,treatment,1
524,1,86,20240106,control,0
525,2,167,20240206,control,1
526,2,9,20240117,treatment,0
527,1,11,20240304,treatment,0
528,2,132,20240217,control,0
529,2,58,20240124,control,0
530,1,31,20240112,control,0
531,2,56,20240106,treatment,0
532,1,67,20240126,control,1
533,2,129,20240314,treatment,1
534,2,50,20240104,control,0
535,2,166,20240312,treatment,1
536,1,103,20240212,treatment,1
537,1,101,20240115,treatment,1
538,1,162,20240302,control,0
539,1,88,20240108,control,1
540,1,6,20240106,control,0
541,1,20,20240207,control,0
542,2,105,20240101,treatment,1
543,2,3,20240202,treatment,0
544,2,27,20240111,control,1
545,2,6,20240114,treatment,1
546,2,183,20240212,treatment,0
547,1,140,20240218,control,1
548,1,62,20240212,treatment,1
549,1,48,20240103,treatment,0
550,1,39,20240113,control,1
551,1,98,20240107,treatment,0
552,2,175,20240223,control,1
553,1,21,20240203,control,0
554,1,132,20240311,control,0
555,2,185,20240217,treatment,1
556,2,69,20240115,treatment,1
557,1,62,20240320,treatment,1
558,2,7,20240206,control,1
559,2,152,20240224,treatment,1
560,1,177,20240125,treatment,0
561,2,94,20240318,control,0
562,1,165,20240311,control,0
563,2,136,20240210,treatment,1
564,1,48,20240118,control,0
565,1,110,20240215,control,0
566,2,135,20240120,control,1
567,2,140,20240330,treatment,0
568,1,127,20240225,treatment,1
569,2,70,20240315,control,0
570,1,113,20240131,control,1
571,1,158,20240313,control,0
572,1,75,20240327,treatment,1
573,2,62,20240323,control,1
574,1,30,20240126,control,0
575,1,52,20240219,treatment,1
576,2,171,20240324,treatment,1
577,1,114,20240218,treatment,1
578,1,181,20240305,control,0
579,1,183,20240206,treatment,1
580,1,90,20240216,control,0
581,2,121,20240106,control,0
582,1,23,20240217,control,0
583,1,17,20240101,treatment,1
584,1,77,20240328,control,1
585,2,196,20240227,control,1
586,1,51,20240227,control,0
587,1,27,20240229,treatment,0
588,1,190,20240210,treatment,0
589,2,166,20240110,treatment,1
590,2,137,20240104,control,0
591,1,194,20240228,treatment,1
592,1,160,20240208,control,1
593,2,42,20240108,control,0
594,2,47,20240105,treatment,0
595,2,159,20240223,control,1
596,1,5,20240211,control,1
597,2,100,20240308,control,1
598,1,185,20240220,treatment,0
599,1,177,20240123,control,1
600,1,92,20240204,treatment,0
601,1,101,20240107,control,1
602,1,186,20240102,control,1
603,1,178,20240319,treatment,0
604,1,138,20240308,treatment,0
605,1,27,20240123,treatment,0
606,2,30,20240316,treatment,1
607,1,107,20240125,control,0
608,2,181,20240122,control,1
609,1,148,20240124,treatment,1
610,1,69,20240314,control,0
611,1,93,20240306,treatment,1
612,1,170,20240108,control,0
613,2,93,20240202,control,1
614,2,16,20240221,treatment,1
615,1,111,20240209,control,0
616,1,25,20240103,control,1
617,2,30,20240115,treatment,1
618,2,2,20240109,control,1
619,2,187,20240226,control,1
620,1,20,20240110,control,1
621,2,106,20240324,treatment,1
622,1,47,20240305,control,1
623,1,97,20240324,control,1
624,1,83,20240119,treatment,0
625,2,196,20240116,control,0
626,1,161,20240315,control,0
627,2,89,20240111,treatment,0
628,2,1,20240309,control,1
629,1,185,20240330,control,1
630,2,25,20240311,control,0
631,2,99,20240109,treatment,1
632,1,127,20240108,treatment,1
633,1,35,20240115,treatment,0
634,1,21,20240330,control,0
635,1,56,20240206,control,0
636,2,53,20240105,treatment,0
637,2,68,20240317,treatment,0
638,2,109,20240302,treatment,1
639,1,14,20240120,treatment,1
640,1,91,20240326,control,1
641,1,33,20240214,treatment,0
642,1,16,20240326,treatment,1
643,1,194,20240221,control,1
644,1,161,20240121,treatment,1
645,2,130,20240310,control,0
646,1,62,20240214,control,0
647,2,130,20240302,treatment,1
648,1,143,20240106,control,0
649,1,9,20240106,treatment,0
650,2,93,20240217,treatment,1
651,1,20,20240101,treatment,1
652,1,132,20240111,control,0
653,1,74,20240327,control,0
654,2,91,20240105,treatment,0
655,1,152,20240131,control,0
656,2,172,20240216,treatment,1
657,1,66,20240228,control,1
658,1,48,20240108,treatment,0
659,1,24,20240330,treatment,1
660,1,184,20240219,treatment,1
661,2,110,20240202,treatment,1
662,1,121,20240326,treatment,1
663,1,107,20240118,treatment,1
664,1,60,20240202,control,0
665,2,156,20240307,treatment,1
666,2,139,20240224,treatment,0
667,2,160,20240112,control,1
668,1,185,20240225,control,1
669,1,85,20240320,control,1
670,2,4,20240219,treatment,1
671,2,181,20240326,treatment,1
672,1,105,20240118,control,1
673,2,40,20240117,control,1
674,1,91,20240207,control,0
675,2,55,20240121,treatment,0
676,2,97,20240304,control,0
677,2,182,20240315,control,0
678,1,119,20240218,control,1
679,2,136,20240315,control,1
680,2,27,20240311,treatment,1
681,1,60,20240102,treatment,1
682,1,47,20240219,treatment,0
683,2,190,20240324,control,1
684,1,49,20240329,treatment,1
685,2,18,20240327,control,0
686,1,158,20240328,treatment,1
687,2,158,20240222,control,1
688,2,150,20240106,control,0
689,1,76,20240208,treatment,1
690,1,56,20240116,treatment,0
691,2,48,20240324,treatment,0
692,1,199,20240104,treatment,1
693,1,70,20240113,control,1
694,2,74,20240317,control,0
695,1,121,20240105,treatment,1
696,1,11,20240218,control,1
697,1,78,20240213,treatment,1
698,2,55,20240325,control,1
699,2,66,20240118,treatment,1
700,2,164,20240312,control,0
701,1,134,20240330,control,0
702,2,133,20240322,control,0
703,1,140,20240213,treatment,1
704,1,63,20240118,treatment,0
705,1,51,20240323,control,1
706,2,49,20240212,treatment,0
707,1,19,20240127,treatment,0
708,1,138,20240212,treatment,1
709,2,133,20240123,treatment,1
710,1,28,20240113,treatment,0
711,2,190,20240221,treatment,1
712,1,177,20240309,control,1
713,1,154,20240322,treatment,1
714,1,131,20240219,control,1
715,1,104,20240102,treatment,1
716,2,42,20240304,treatment,1
717,1,17,20240108,control,0
718,2,60,20240223,treatment,1
719,1,66,20240302,treatment,1
720,2,45,20240127,treatment,0
721,1,99,20240204,control,0
722,2,118,20240305,treatment,1
723,1,31,20240221,treatment,1
724,1,198,20240212,control,0
725,2,47,20240323,treatment,0
726,2,39,20240219,control,1
727,1,76,20240331,treatment,0
728,1,68,20240331,treatment,0
729,2,187,20240303,control,0
730,2,162,20240305,control,1
731,2,187,20240225,treatment,0
732,2,64,20240305,control,0
733,2,123,20240327,control,1
734,1,181,20240126,control,1
735,2,114,20240220,control,0
736,1,143,20240112,control,0
737,2,181,20240221,treatment,0
738,1,178,20240305,control,0
739,1,33,20240301,control,0
740,1,194,20240320,treatment,1
741,2,165,20240202,control,0
742,1,64,20240122,treatment,0
743,2,177,20240326,treatment,0
744,2,153,20240127,control,0
745,1,154,20240327,control,0
746,1,21,20240117,control,0
747,2,22,20240124,control,1
748,1,118,20240201,control,0
749,2,119,20240111,treatment,1
750,2,15,20240309,treatment,0
751,2,27,20240319,control,0
752,2,118,20240323,control,0
753,1,93,20240223,control,1
754,1,54,20240106,treatment,1
755,1,129,20240301,control,1
756,2,12,20240205,control,0
757,2,178,20240312,treatment,0
758,2,66,20240202,treatment,0
759,2,102,20240302,treatment,1
760,2,137,20240227,control,1
761,1,170,20240224,control,1
762,1,115,20240320,treatment,0
763,1,100,20240320,control,0
764,1,90,20240304,treatment,0
765,2,75,20240302,treatment,0
766,1,89,20240212,treatment,0
767,2,97,20240223,treatment,0
768,2,198,20240330,treatment,1
769,1,5,20240107,treatment,1
770,2,193,20240213,treatment,0
771,1,115,20240124,control,0
772,2,25,20240122,control,1
773,1,116,20240205,control,1
774,1,103,20240314,control,0
775,2,129,20240215,treatment,0
776,1,65,20240327,treatment,1
777,1,62,20240115,control,1
778,1,26,20240313,control,0
779,2,74,20240117,control,0
780,2,113,20240301,treatment,0
781,2,38,20240304,control,0
782,1,27,20240313,control,0
783,2,173,20240223,treatment,0
784,1,64,20240216,control,1
785,2,52,20240209,treatment,1
786,2,64,20240317,control,0
787,2,10,20240117,control,0
788,2,148,20240215,treatment,0
789,1,38,20240110,control,0
790,2,17,20240111,treatment,1
791,1,188,20240320,control,0
792,2,22,20240126,control,1
793,1,95,20240207,control,1
794,2,56,20240114,control,0
795,2,70,20240106,control,0
796,1,156,20240213,treatment,1
797,2,184,20240216,control,0
798,1,134,20240130,control,1
799,1,14,20240112,treatment,0
800,1,132,20240120,treatment,0
801,1,148,20240329,treatment,1
802,1,10,20240220,control,1
803,2,139,20240208,control,0
804,1,44,20240121,treatment,1
805,2,154,20240204,treatment,1
806,1,200,20240219,control,1
807,1,189,20240304,treatment,0
808,2,3,20240124,control,0
809,1,93,20240322,treatment,1
810,1,168,20240329,treatment,0
811,2,188,20240212,control,1
812,1,13,20240115,control,0
813,1,145,20240313,treatment,0
814,1,31,20240208,treatment,1
815,2,91,20240114,control,0
816,2,179,20240307,treatment,1
817,2,137,20240108,control,0
818,1,19,20240323,control,0
819,2,99,20240104,control,1
820,1,152,20240214,treatment,1
821,1,4,20240306,treatment,1
822,2,176,20240222,treatment,1
823,1,187,20240209,treatment,0
824,2,178,20240208,control,1
825,1,93,20240313,treatment,0
826,1,115,20240106,treatment,1
827,2,146,20240308,control,0
828,1,178,20240219,treatment,1
829,1,21,20240220,treatment,0
830,1,126,20240209,treatment,0
831,1,42,20240309,control,1
832,2,46,20240105,treatment,0
833,2,134,20240301,control,0
834,1,52,20240124,control,1
835,2,148,20240220,treatment,1
836,1,35,20240117,control,0
837,2,48,20240101,control,1
838,2,104,20240305,control,0
839,2,51,20240122,treatment,0
840,1,100,20240125,treatment,0
841,2,29,20240121,control,0
842,1,79,20240127,treatment,0
843,1,11,20240323,control,0
844,1,69,20240311,treatment,1
845,2,200,20240205,control,0
846,2,42,20240308,treatment,0
847,2,57,20240108,treatment,1
848,1,126,20240326,treatment,0
849,2,129,20240109,treatment,1
850,1,154,20240122,treatment,0
851,2,67,20240119,control,0
852,2,93,20240310,control,1
853,2,82,20240215,control,0
854,1,155,20240324,control,1
855,2,26,20240329,control,0
856,1,155,20240210,control,0
857,1,104,20240317,control,0
858,1,195,20240117,treatment,1
859,2,108,20240320,treatment,0
860,1,129,20240317,control,1
861,2,55,20240108,control,0
862,2,107,20240314,control,0
863,1,51,20240131,treatment,1
864,1,61,20240115,control,1
865,2,17,20240213,treatment,0
866,1,126,20240106,treatment,0
867,2,55,20240107,treatment,1
868,2,129,20240123,treatment,1
869,2,89,20240110,control,0
870,1,83,20240318,control,1
871,1,145,20240217,control,1
872,2,109,20240210,treatment,1
873,2,129,20240320,control,1
874,1,63,20240330,control,0
875,2,135,20240106,treatment,1
876,1,49,20240206,treatment,1
877,1,191,20240225,control,0
878,1,31,20240126,treatment,1
879,2,20,20240124,treatment,1
880,1,102,20240319,treatment,1
881,2,8,20240310,control,0
882,2,55,20240111,control,1
883,1,43,20240318,control,1
884,2,60,20240328,control,1
885,1,80,20240226,treatment,0
886,1,76,20240312,treatment,0
887,2,96,20240227,control,1
888,2,39,20240327,control,0
889,2,26,20240105,treatment,1
890,2,164,20240309,treatment,1
891,1,23,20240325,control,1
892,1,18,20240208,treatment,1
893,1,132,20240220,control,1
894,2,26,20240305,treatment,1
895,2,71,20240326,control,1
896,2,135,20240329,treatment,0
897,1,71,20240130,control,1
898,2,183,20240102,treatment,0
899,2,77,20240312,control,0
900,2,189,20240331,treatment,1
901,2,49,20240322,control,1
902,1,94,20240127,control,0
903,1,113,20240207,control,1
904,1,86,20240328,treatment,1
905,2,183,20240111,control,1
906,2,190,20240227,treatment,1
907,1,68,20240304,treatment,0
908,1,82,20240205,treatment,1
909,1,32,20240207,control,0
910,2,58,20240328,treatment,0
911,1,62,20240129,treatment,1
912,1,181,20240101,treatment,1
913,2,115,20240307,control,1
914,2,187,20240326,treatment,1
915,2,26,20240118,treatment,0
916,2,142,20240229,control,1
917,1,10,20240329,control,1
918,1,17,20240306,treatment,0
919,2,112,20240111,control,1
920,2,78,20240219,treatment,1
921,2,34,20240111,treatment,0
922,2,146,20240328,treatment,0
923,1,11,20240312,treatment,0
924,2,22,20240113,control,0
925,2,129,20240221,control,0
926,1,137,20240315,control,1
