driver_daily_id,driver_id,date_id,trips_completed,hours_active,earnings,incentives_earned
66,3,20240129,1,0.33,0.42,1.14
67,3,20240131,0,0.0,2.81,2.91
68,3,20240202,1,0.44,5.49,0.0
69,3,20240203,1,0.46,15.01,0.0
70,3,20240210,1,0.48,7.64,2.05
71,3,20240211,2,0.68,39.85,2.15
72,3,20240212,1,0.32,14.510000000000002,9.190000000000001
73,3,20240213,1,0.33,105.02,0.0
74,3,20240215,1,0.49,63.56,4.19
75,3,20240219,1,0.53,3.75,1.94
76,3,20240225,0,0.0,61.0,0.0
77,3,20240226,0,0.0,6.16,3.28
78,3,20240304,1,0.43,4.73,3.75
79,3,20240305,1,0.46,41.55,1.55
80,3,20240310,2,0.84,39.78,4.02
81,3,20240312,1,0.49,0.52,2.41
82,3,20240321,1,0.54,75.25,3.12
83,3,20240323,2,0.64,56.48,0.0
84,3,20240328,3,1.37,22.95,3.42
85,3,20240330,2,0.79,39.14,4.1
86,4,20240101,1,0.39,50.94,0.0
87,4,20240102,1,0.34,4.25,2.17
88,4,20240103,1,0.45,28.77,2.13
89,4,20240106,1,0.5,104.18,0.0
90,4,20240108,2,0.74,34.62,7.38
91,4,20240112,0,0.0,11.69,3.09
92,4,20240113,1,0.31,15.870000000000001,0.0
93,4,20240115,1,0.48,27.42,0.0
94,4,20240120,0,0.0,25.56,0.0
95,4,20240121,0,0.0,25.45,0.0
96,4,20240122,1,0.36,32.09,2.37
97,4,20240124,1,0.52,3.02,0.0
98,4,20240125,1,0.57,52.3,0.0
99,4,20240126,1,0.44,3.0,1.49
100,4,20240127,1,0.34,1.96,0.0
101,4,20240128,1,0.54,9.38,2.47
102,4,20240129,2,0.75,135.33,3.13
103,4,20240203,1,0.48,12.54,0.0
104,4,20240206,1,0.47,12.67,3.31
105,4,20240212,1,0.59,87.03,5.17
106,4,20240213,0,0.0,0.69,0.0
107,4,20240214,1,0.55,58.94,3.01
108,4,20240216,2,0.95,55.41,1.96
109,4,20240219,0,0.0,31.49,3.49
110,4,20240220,0,0.0,1.45,0.0
111,4,20240221,2,0.9,55.29,0.0
112,4,20240224,1,0.44,3.18,3.21
113,4,20240227,1,0.49,11.94,0.0
114,4,20240228,1,0.57,35.0,3.87
115,4,20240303,1,0.47,29.48,0.0
116,4,20240307,1,0.55,13.46,0.0
117,4,20240310,1,0.41,13.24,3.15
118,4,20240313,2,0.78,31.18,1.65
119,4,20240315,2,0.77,14.91,4.17
120,4,20240316,1,0.48,21.47,2.02
121,4,20240317,1,0.55,63.09,0.0
122,4,20240318,1,0.51,2.96,0.0
123,4,20240326,1,0.4,68.17,4.37
124,4,20240328,1,0.3,30.06,4.08
125,5,20240110,1,0.36,117.44,2.46
126,5,20240113,2,1.08,95.39,6.17
127,5,20240119,0,0.0,77.01,0.0
128,5,20240120,0,0.0,45.91,4.98
129,5,20240122,0,0.0,26.06,2.88
130,5,20240123,1,0.47,16.81,0.0
131,5,20240125,1,0.41,32.45,0.0
132,5,20240126,1,0.34,28.13,2.21
133,5,20240128,1,0.57,1.66,0.0
134,5,20240130,1,0.51,4.67,3.15
135,5,20240131,1,0.59,3.63,0.0
136,5,20240202,1,0.45,20.74,0.0
137,5,20240204,1,0.55,20.39,0.0
138,5,20240207,1,0.33,230.9,7.47
139,5,20240208,0,0.0,20.44,0.0
140,5,20240210,1,0.52,18.73,1.79
141,5,20240215,0,0.0,5.0,3.56
142,5,20240217,1,0.56,10.67,3.44
143,5,20240218,1,0.33,49.07,2.36
144,5,20240222,1,0.36,13.47,0.0
145,5,20240227,0,0.0,12.12,0.0
146,5,20240305,1,0.41,23.020000000000003,0.0
147,5,20240308,0,0.0,13.01,0.0
148,5,20240314,1,0.47,8.31,0.0
149,5,20240318,1,0.31,57.39,0.0
150,5,20240319,1,0.58,62.95,0.0
151,5,20240320,1,0.57,4.32,0.0
152,5,20240324,1,0.31,27.19,1.36
153,5,20240331,1,0.32,17.98,0.0
154,6,20240108,2,1.12,99.77000000000001,3.84
155,6,20240109,0,0.0,48.55,0.0
156,6,20240113,2,0.95,74.49000000000001,3.09
157,6,20240114,0,0.0,7.73,0.0
158,6,20240115,3,1.12,67.39999999999999,1.14
159,6,20240117,1,0.51,35.8,2.33
160,6,20240123,2,0.79,25.69,1.15
161,6,20240124,1,0.49,11.56,2.53
162,6,20240125,1,0.49,56.83,0.0
163,6,20240127,1,0.55,52.6,0.0
164,6,20240128,0,0.0,50.0,1.32
165,6,20240201,1,0.47,10.45,0.0
166,6,20240202,1,0.45,57.14,4.79
167,6,20240203,1,0.35,57.19,1.35
168,6,20240206,1,0.54,41.8,0.0
169,6,20240210,1,0.42,31.32,0.0
170,6,20240211,2,0.89,64.41,4.17
171,6,20240215,1,0.53,76.63,1.87
172,6,20240217,2,1.13,38.66,1.71
173,6,20240218,1,0.46,21.86,0.0
174,6,20240221,1,0.38,75.94,1.54
175,6,20240226,1,0.35,54.5,0.0
176,6,20240305,0,0.0,21.06,0.0
177,6,20240309,0,0.0,33.76,2.9
178,6,20240311,2,0.75,96.46000000000001,0.0
179,6,20240313,1,0.46,123.63,0.0
180,6,20240323,1,0.56,1.01,0.0
181,6,20240326,1,0.46,14.37,0.0
182,6,20240330,1,0.49,6.19,2.39
183,7,20240103,1,0.52,41.56,0.0
184,7,20240110,0,0.0,8.63,2.53
185,7,20240117,1,0.49,35.8,2.17
186,7,20240122,1,0.33,25.85,0.0
187,7,20240125,1,0.58,41.31,0.0
188,7,20240127,1,0.58,1.02,0.0
189,7,20240202,1,0.47,9.09,0.0
190,7,20240205,0,0.0,17.08,3.3
191,7,20240208,1,0.55,60.77,0.0
192,7,20240210,1,0.3,75.79,4.28
193,7,20240213,0,0.0,39.09,0.0
194,7,20240216,1,0.41,7.76,0.0
195,7,20240223,2,0.94,34.57,2.41
196,7,20240224,1,0.49,16.28,1.58
197,7,20240227,1,0.47,2.08,0.0
198,7,20240229,1,0.42,79.1,0.0
199,7,20240302,1,0.47,4.71,1.93
200,7,20240305,0,0.0,15.13,2.56
201,7,20240308,2,0.73,66.27,6.45
202,7,20240309,1,0.35,16.6,0.0
203,7,20240314,0,0.0,45.57,2.39
204,7,20240321,1,0.31,19.9,0.0
205,7,20240325,0,0.0,20.04,0.0
206,7,20240328,1,0.59,55.18,0.0
207,7,20240331,2,1.07,37.69,2.37
208,8,20240106,1,0.43,16.82,0.0
209,8,20240114,0,0.0,15.58,0.0
210,8,20240116,1,0.51,6.71,2.02
211,8,20240118,1,0.52,4.6,0.0
212,8,20240120,3,1.13,133.45999999999998,10.65
213,8,20240127,3,1.67,55.980000000000004,5.02
214,8,20240130,2,0.73,82.81,5.01
215,8,20240201,0,0.0,35.32,0.0
216,8,20240202,1,0.36,3.91,1.03
217,8,20240205,3,1.8,83.34,2.78
218,8,20240211,1,0.35,13.32,0.0
219,8,20240213,2,0.9,66.56,0.0
220,8,20240216,2,0.73,83.00999999999999,3.51
221,8,20240219,1,0.57,36.82,3.01
222,8,20240225,1,0.59,17.49,0.0
223,8,20240226,1,0.56,10.89,0.0
224,8,20240302,2,0.87,17.36,6.37
225,8,20240303,1,0.31,102.47,0.0
226,8,20240305,0,0.0,33.06,1.98
227,8,20240306,2,1.19,30.3,5.97
228,8,20240310,2,0.92,133.32999999999998,6.25
229,8,20240311,1,0.42,22.55,0.0
230,8,20240317,1,0.54,47.66,0.0
231,8,20240320,1,0.52,40.03,0.0
232,8,20240322,1,0.42,0.65,1.01
233,8,20240323,1,0.5,8.86,3.34
234,8,20240327,2,0.69,48.06,0.0
235,8,20240329,1,0.53,32.11,0.0
236,8,20240331,1,0.57,7.29,0.0
237,9,20240103,0,0.0,13.51,1.86
238,9,20240104,3,1.22,11.84,0.0
239,9,20240105,1,0.49,9.56,0.0
240,9,20240109,1,0.57,11.7,0.0
241,9,20240110,1,0.39,28.13,0.0
242,9,20240115,1,0.35,4.39,1.39
243,9,20240119,1,0.57,26.56,4.4
244,9,20240120,1,0.34,6.0,1.9
245,9,20240126,0,0.0,184.02,0.0
246,9,20240128,1,0.34,4.54,3.83
247,9,20240202,1,0.35,25.51,0.0
248,9,20240203,1,0.57,38.769999999999996,3.28
249,9,20240207,1,0.35,19.3,4.8
250,9,20240210,1,0.36,14.84,4.2
251,9,20240216,1,0.44,6.12,0.0
252,9,20240223,1,0.44,9.48,0.0
253,9,20240226,1,0.45,19.97,0.0
254,9,20240302,1,0.48,11.17,3.07
255,9,20240304,2,0.74,35.11,0.0
256,9,20240307,1,0.51,2.0,4.52
257,9,20240311,1,0.47,15.33,1.61
258,9,20240312,2,0.8,156.46,0.0
259,9,20240313,1,0.6,11.91,0.0
260,9,20240315,0,0.0,57.44,0.0
261,9,20240316,1,0.44,36.379999999999995,2.74
262,9,20240319,1,0.59,26.68,0.0
263,9,20240321,3,1.32,58.0,1.29
264,9,20240322,1,0.47,14.29,3.51
265,9,20240325,1,0.46,27.58,1.31
266,9,20240326,1,0.54,21.29,3.03
267,10,20240102,1,0.37,15.73,0.0
268,10,20240109,0,0.0,12.99,0.0
269,10,20240117,1,0.43,10.09,0.0
270,10,20240120,1,0.36,32.24,0.0
271,10,20240124,2,0.8,36.0,0.0
272,10,20240125,1,0.33,41.19,0.0
273,10,20240129,1,0.4,10.51,0.0
274,10,20240130,1,0.46,8.66,3.05
275,10,20240201,1,0.5,1.47,0.0
276,10,20240202,1,0.3,278.98,0.0
277,10,20240205,1,0.53,48.74,0.0
278,10,20240210,1,0.55,1.85,4.47
279,10,20240218,1,0.39,2.96,0.0
280,10,20240222,1,0.35,9.98,0.0
281,10,20240223,0,0.0,5.88,0.0
282,10,20240227,0,0.0,37.6,2.42
283,10,20240302,2,0.99,33.65,0.0
284,10,20240304,1,0.44,5.2,0.0
285,10,20240310,0,0.0,7.35,0.0
286,10,20240311,2,0.81,88.13,1.46
287,10,20240312,0,0.0,2.59,1.73
288,10,20240315,0,0.0,7.44,0.0
289,10,20240316,1,0.54,43.7,0.0
290,10,20240317,0,0.0,122.98,0.0
291,10,20240319,1,0.52,19.62,0.0
292,10,20240321,0,0.0,6.57,0.0
293,10,20240322,1,0.52,51.77,1.45
294,10,20240326,2,1.11,40.370000000000005,0.0
295,10,20240331,0,0.0,78.23,2.71
296,11,20240101,1,0.35,13.16,0.0
297,11,20240103,0,0.0,57.24,1.13
298,11,20240111,1,0.37,76.8,0.0
299,11,20240112,1,0.53,62.14,0.0
300,11,20240114,1,0.45,7.93,0.0
301,11,20240115,1,0.56,50.739999999999995,6.73
302,11,20240120,0,0.0,0.0,0.0
303,11,20240121,1,0.39,9.13,0.0
304,11,20240124,1,0.55,9.18,0.0
305,11,20240125,1,0.59,5.51,4.84
306,11,20240128,1,0.47,20.97,0.0
307,11,20240131,2,1.14,10.11,2.16
308,11,20240203,1,0.42,5.61,4.78
309,11,20240204,1,0.36,85.87,0.0
310,11,20240212,1,0.58,0.35,4.85
311,11,20240219,1,0.37,67.71,0.0
312,11,20240220,1,0.5,15.44,0.0
313,11,20240225,1,0.42,81.44,2.11
314,11,20240227,1,0.34,19.13,0.0
315,11,20240229,1,0.57,73.62,3.6
316,11,20240302,1,0.58,15.129999999999999,4.89
317,11,20240303,1,0.3,24.72,3.25
318,11,20240304,0,0.0,7.09,0.0
319,11,20240305,1,0.49,52.56,0.0
320,11,20240306,0,0.0,33.6,3.77
321,11,20240310,0,0.0,0.99,0.0
322,11,20240311,1,0.53,18.65,3.48
323,11,20240312,1,0.53,15.71,0.0
324,11,20240314,2,1.08,8.06,2.28
325,11,20240316,1,0.34,45.83,0.0
326,11,20240317,1,0.5,17.99,0.0
327,11,20240320,0,0.0,4.91,0.0
328,11,20240321,1,0.35,31.99,0.0
329,11,20240322,0,0.0,10.37,0.0
330,11,20240323,1,0.41,47.03,0.0
331,11,20240327,1,0.57,51.260000000000005,0.0
332,11,20240328,1,0.38,21.73,0.0
333,11,20240329,2,1.01,48.07,3.34
334,12,20240101,1,0.48,5.78,3.1
335,12,20240105,1,0.41,62.83,0.0
336,12,20240109,1,0.37,21.11,3.29
337,12,20240111,3,1.38,65.49000000000001,1.19
338,12,20240124,1,0.54,46.56,4.3
339,12,20240125,1,0.34,0.14,0.0
340,12,20240129,1,0.3,14.78,2.67
341,12,20240130,0,0.0,75.21,0.0
342,12,20240201,1,0.33,1.66,0.0
343,12,20240202,0,0.0,54.93,0.0
344,12,20240207,1,0.57,12.35,0.0
345,12,20240208,1,0.31,53.06,0.0
346,12,20240213,1,0.5,42.51,0.0
347,12,20240214,1,0.43,58.71,1.83
348,12,20240215,1,0.59,116.03,3.52
349,12,20240217,1,0.37,0.25,0.0
350,12,20240223,1,0.55,9.35,0.0
351,12,20240225,1,0.58,68.47,0.0
352,12,20240305,1,0.33,1.28,2.06
353,12,20240306,0,0.0,44.05,4.21
354,12,20240313,3,1.14,207.55999999999997,1.67
355,12,20240315,1,0.51,2.55,0.0
356,12,20240320,1,0.35,11.49,0.0
357,12,20240322,2,1.1,31.78,8.540000000000001
358,12,20240323,1,0.51,8.99,0.0
359,12,20240326,0,0.0,9.89,3.05
360,12,20240329,1,0.44,1.96,3.78
361,12,20240330,1,0.52,50.95,2.49
362,13,20240102,0,0.0,28.46,0.0
363,13,20240104,1,0.34,34.08,0.0
364,13,20240107,1,0.33,5.39,2.77
365,13,20240115,2,0.71,104.97999999999999,0.0
366,13,20240116,1,0.44,35.51,4.61
367,13,20240117,2,0.89,68.53999999999999,4.1
368,13,20240118,1,0.54,12.94,0.0
369,13,20240119,1,0.41,59.76,0.0
370,13,20240120,0,0.0,32.98,0.0
371,13,20240121,1,0.34,0.96,1.97
372,13,20240126,1,0.48,12.94,0.0
373,13,20240130,1,0.55,41.62,0.0
374,13,20240201,1,0.44,11.26,0.0
375,13,20240203,1,0.56,50.35,4.74
376,13,20240212,0,0.0,10.78,0.0
377,13,20240215,1,0.32,8.54,0.0
378,13,20240218,2,0.75,68.31,0.0
379,13,20240220,1,0.47,10.56,0.0
380,13,20240223,1,0.4,18.36,0.0
381,13,20240304,1,0.52,6.78,3.5
382,13,20240305,1,0.53,23.89,4.88
383,13,20240306,1,0.49,32.66,0.0
384,13,20240311,1,0.35,41.87,3.35
385,13,20240313,1,0.34,105.02,1.49
386,13,20240314,2,1.18,89.06,1.96
387,13,20240316,0,0.0,27.34,0.0
388,13,20240317,1,0.39,29.08,1.38
389,13,20240318,0,0.0,33.64,0.0
390,13,20240322,2,1.13,30.68,0.0
391,13,20240327,1,0.37,11.77,2.78
392,13,20240328,2,0.78,25.07,0.0
393,13,20240329,1,0.44,149.54,0.0
394,13,20240330,1,0.57,71.88,0.0
395,13,20240331,1,0.49,25.39,0.0
396,14,20240102,1,0.47,17.08,0.0
397,14,20240104,0,0.0,2.23,0.0
398,14,20240110,0,0.0,28.39,0.0
399,14,20240111,1,0.4,76.62,0.0
400,14,20240112,0,0.0,19.04,0.0
401,14,20240114,1,0.43,13.6,0.0
402,14,20240115,1,0.4,36.96,2.69
403,14,20240117,1,0.38,8.4,0.0
404,14,20240126,1,0.34,31.19,0.0
405,14,20240128,1,0.59,0.5,2.53
406,14,20240129,1,0.35,2.03,0.0
407,14,20240130,0,0.0,10.11,0.0
408,14,20240205,1,0.6,75.02,0.0
409,14,20240209,0,0.0,8.97,2.72
410,14,20240215,1,0.43,2.77,0.0
411,14,20240217,2,0.76,117.17999999999999,6.8100000000000005
412,14,20240218,1,0.58,6.7,2.43
413,14,20240219,0,0.0,21.48,0.0
414,14,20240222,1,0.51,22.6,3.8
415,14,20240227,2,0.91,22.3,2.78
416,14,20240229,0,0.0,5.14,3.25
417,14,20240302,1,0.47,33.39,4.8
418,14,20240303,0,0.0,55.2,0.0
419,14,20240306,1,0.41,1.65,4.45
420,14,20240307,1,0.52,26.28,0.0
421,14,20240314,1,0.55,13.45,0.0
422,14,20240317,2,0.99,27.740000000000002,3.77
423,14,20240319,1,0.32,14.38,2.57
424,14,20240323,1,0.39,1.82,0.0
425,14,20240324,1,0.58,21.51,2.66
426,14,20240327,1,0.36,93.76,0.0
427,14,20240329,0,0.0,0.25,3.21
428,15,20240102,2,0.72,131.43,3.06
429,15,20240105,1,0.57,36.93,2.18
430,15,20240109,1,0.46,26.86,3.75
431,15,20240112,1,0.35,23.29,0.0
432,15,20240117,1,0.59,6.37,0.0
433,15,20240121,1,0.39,0.38,0.0
434,15,20240122,1,0.53,31.26,2.16
435,15,20240123,1,0.54,14.13,1.92
436,15,20240126,1,0.32,59.94,4.81
437,15,20240201,1,0.55,42.28,4.13
438,15,20240202,1,0.45,42.63,0.0
439,15,20240204,1,0.37,8.09,0.0
440,15,20240207,1,0.33,14.25,0.0
441,15,20240210,1,0.39,16.68,3.07
442,15,20240211,1,0.3,53.21,0.0
443,15,20240214,1,0.59,12.78,0.0
444,15,20240217,1,0.47,7.57,0.0
445,15,20240218,1,0.5,69.91,1.92
446,15,20240220,1,0.42,10.09,0.0
447,15,20240225,0,0.0,64.18,0.0
448,15,20240226,0,0.0,25.07,4.53
449,15,20240302,1,0.39,8.69,0.0
450,15,20240304,1,0.36,46.57,0.0
451,15,20240310,0,0.0,9.67,1.93
452,15,20240311,0,0.0,37.48,0.0
453,15,20240312,1,0.34,1.33,1.83
454,15,20240317,1,0.41,5.88,0.0
455,15,20240319,1,0.32,12.09,3.33
456,15,20240320,0,0.0,4.93,1.53
457,15,20240322,1,0.51,58.46,1.27
458,15,20240330,1,0.46,3.07,0.0
459,16,20240101,1,0.48,28.71,1.86
460,16,20240107,2,0.9,39.97,5.38
461,16,20240112,1,0.59,36.53,4.07
462,16,20240113,2,0.95,38.870000000000005,4.16
463,16,20240119,1,0.57,196.07999999999998,1.66
464,16,20240120,1,0.5,16.86,0.0
465,16,20240125,1,0.54,11.82,6.08
466,16,20240126,0,0.0,20.73,1.18
467,16,20240213,1,0.38,24.69,4.52
468,16,20240215,2,0.71,62.55,3.4
469,16,20240219,1,0.52,27.48,0.0
470,16,20240229,1,0.39,7.06,4.97
471,16,20240306,1,0.49,0.42,1.31
472,16,20240307,1,0.37,29.61,2.13
473,16,20240309,1,0.41,12.85,0.0
474,16,20240315,0,0.0,2.66,3.26
475,16,20240316,1,0.37,13.66,0.0
476,16,20240317,1,0.42,54.07,1.66
477,16,20240318,1,0.31,23.56,0.0
478,16,20240322,1,0.49,14.95,0.0
479,16,20240326,1,0.36,12.16,0.0
480,16,20240331,1,0.44,22.31,0.0
481,17,20240106,2,0.75,67.43,0.0
482,17,20240109,2,0.9,192.32,0.0
483,17,20240110,0,0.0,37.22,2.05
484,17,20240112,0,0.0,26.65,0.0
485,17,20240114,1,0.32,79.9,0.0
486,17,20240117,0,0.0,0.22,0.0
487,17,20240118,1,0.56,1.27,0.0
488,17,20240125,2,0.97,144.22,1.49
489,17,20240128,1,0.53,1.61,0.0
490,17,20240129,2,0.64,57.400000000000006,0.0
491,17,20240130,1,0.58,43.41,0.0
492,17,20240202,1,0.52,16.74,0.0
493,17,20240203,1,0.4,64.57,2.9
494,17,20240205,0,0.0,109.23,0.0
495,17,20240211,1,0.46,2.39,0.0
496,17,20240212,2,0.67,6.23,3.61
497,17,20240213,0,0.0,44.9,4.44
498,17,20240216,1,0.57,21.52,1.72
499,17,20240222,0,0.0,86.88,3.64
500,17,20240225,1,0.33,4.81,0.0
501,17,20240227,1,0.38,52.86,0.0
502,17,20240229,1,0.31,97.29,1.27
503,17,20240301,0,0.0,39.12,4.06
504,17,20240302,2,0.9,77.28,0.0
505,17,20240303,1,0.33,8.44,0.0
506,17,20240304,1,0.38,35.02,2.84
507,17,20240305,1,0.57,27.16,0.0
508,17,20240309,1,0.56,7.13,3.55
509,17,20240310,0,0.0,21.43,2.34
510,17,20240311,1,0.37,27.31,1.28
511,17,20240313,1,0.32,51.370000000000005,0.0
512,17,20240314,2,0.81,25.419999999999998,0.0
513,17,20240317,2,0.95,69.49000000000001,0.0
514,17,20240324,1,0.32,3.01,4.41
515,17,20240325,1,0.56,6.08,0.0
516,17,20240328,0,0.0,36.97,0.0
517,18,20240104,1,0.42,57.09,3.02
518,18,20240112,1,0.36,83.03,2.61
519,18,20240115,1,0.36,0.79,0.0
520,18,20240116,3,1.06,57.37,0.0
521,18,20240118,1,0.34,71.18,6.05
522,18,20240125,1,0.48,15.71,1.11
523,18,20240126,0,0.0,52.32,0.0
524,18,20240127,1,0.59,67.59,0.0
525,18,20240128,2,0.78,36.92,4.03
526,18,20240131,1,0.31,26.65,0.0
527,18,20240202,1,0.34,17.89,0.0
528,18,20240203,0,0.0,58.87,2.84
529,18,20240204,1,0.37,5.66,3.79
530,18,20240209,1,0.46,2.81,0.0
531,18,20240210,0,0.0,32.53,4.49
532,18,20240216,0,0.0,10.03,0.0
533,18,20240218,1,0.44,16.24,4.94
534,18,20240219,1,0.56,110.8,0.0
535,18,20240225,1,0.41,15.07,0.0
536,18,20240301,0,0.0,9.49,0.0
537,18,20240302,1,0.49,67.68,3.44
538,18,20240305,1,0.53,18.74,0.0
539,18,20240306,1,0.37,19.24,0.0
540,18,20240309,1,0.4,20.13,2.9
541,18,20240311,1,0.34,31.16,0.0
542,18,20240313,1,0.49,6.92,2.45
543,18,20240314,2,0.92,28.060000000000002,4.27
544,18,20240316,1,0.43,55.29,1.05
545,18,20240320,1,0.45,26.88,0.0
546,18,20240325,1,0.42,14.06,2.14
547,18,20240328,1,0.49,8.78,0.0
548,18,20240331,1,0.42,25.91,3.0
549,19,20240101,1,0.48,18.23,0.0
550,19,20240105,1,0.6,2.3,2.65
551,19,20240110,1,0.44,121.49,2.86
552,19,20240111,1,0.56,6.86,0.0
553,19,20240112,1,0.56,0.07,1.56
554,19,20240113,0,0.0,3.57,0.0
555,19,20240117,2,0.97,22.05,4.16
556,19,20240123,1,0.37,50.96,0.0
557,19,20240124,0,0.0,7.66,0.0
558,19,20240127,1,0.53,61.02,0.0
559,19,20240128,1,0.31,8.11,4.2
560,19,20240131,2,0.85,72.87,2.66
561,19,20240206,1,0.56,10.5,0.0
562,19,20240208,1,0.59,1.52,3.36
563,19,20240209,0,0.0,264.86,2.48
564,19,20240216,3,1.65,82.89,0.0
565,19,20240217,1,0.39,30.07,8.86
566,19,20240218,1,0.54,4.24,1.12
567,19,20240221,1,0.31,64.12,2.86
568,19,20240222,1,0.34,5.64,0.0
569,19,20240229,1,0.59,0.66,0.0
570,19,20240301,1,0.36,38.18,0.0
571,19,20240307,2,0.7,41.28,4.9
572,19,20240315,1,0.31,23.26,2.91
573,19,20240321,1,0.55,47.09,1.43
574,19,20240322,1,0.56,17.94,0.0
575,19,20240325,1,0.36,52.89,0.0
576,19,20240326,1,0.43,62.78,0.0
577,19,20240329,0,0.0,49.02,4.81
578,19,20240330,1,0.36,18.34,3.47
579,19,20240331,1,0.33,20.7,0.0
580,20,20240105,0,0.0,11.02,4.59
581,20,20240111,2,0.67,30.25,1.1
582,20,20240114,0,0.0,25.17,4.68
583,20,20240118,1,0.53,0.36,2.87
584,20,20240119,1,0.52,27.94,0.0
585,20,20240123,1,0.33,8.57,2.24
586,20,20240125,1,0.57,61.43,4.64
587,20,20240126,3,1.29,65.69,0.0
588,20,20240130,1,0.54,25.51,0.0
589,20,20240202,0,0.0,4.58,4.52
590,20,20240206,1,0.53,27.34,0.0
591,20,20240207,1,0.39,73.49,0.0
592,20,20240208,1,0.4,45.39,0.0
593,20,20240210,1,0.52,14.88,0.0
594,20,20240213,1,0.54,4.72,0.0
595,20,20240218,1,0.57,54.81,2.62
596,20,20240219,1,0.5,9.82,0.0
597,20,20240220,1,0.45,5.96,0.0
598,20,20240221,1,0.54,21.85,0.0
599,20,20240223,1,0.38,9.2,3.28
600,20,20240226,0,0.0,25.95,0.0
601,20,20240227,1,0.48,17.11,3.78
602,20,20240301,0,0.0,18.89,3.76
603,20,20240304,1,0.52,48.93,2.7
604,20,20240306,1,0.48,18.05,0.0
605,20,20240307,1,0.45,3.76,1.93
606,20,20240308,0,0.0,69.55,0.0
607,20,20240310,0,0.0,45.95,1.15
608,20,20240311,0,0.0,2.41,4.92
609,20,20240314,1,0.58,6.89,2.49
610,20,20240316,0,0.0,66.56,0.0
611,20,20240317,1,0.4,9.93,4.31
612,20,20240318,0,0.0,17.82,0.0
613,20,20240323,1,0.53,59.0,0.0
614,20,20240324,1,0.4,17.83,2.16
615,20,20240326,1,0.48,23.46,0.0
616,20,20240330,1,0.39,5.05,0.0
617,20,20240331,1,0.54,15.12,0.0
618,21,20240101,1,0.57,15.790000000000001,4.27
619,21,20240102,0,0.0,47.77,0.0
620,21,20240108,2,1.11,106.06,2.0
621,21,20240109,0,0.0,10.53,2.96
622,21,20240110,1,0.34,39.53,4.56
623,21,20240112,0,0.0,6.24,2.93
624,21,20240113,1,0.5,49.47,0.0
625,21,20240114,1,0.46,42.57,0.0
626,21,20240116,0,0.0,76.69,0.0
