trip_id,user_id,driver_id,product_id,city_id,request_date,request_date_id,pickup_date_id,dropoff_date_id,status,distance_km,surge_multiplier,fare,incentive_id,incentive_amount
65,109,2,1,5,2024-02-04,20240204,20240204,20240204,completed,5.92,2.28,40.49,2.0,2.35
66,65,11,3,7,2024-01-03,20240103,20240103,20240103,cancelled_user,10.78,1.77,57.24,1.0,1.13
67,86,50,1,5,2024-02-28,20240228,20240228,20240228,completed,3.19,2.08,19.91,,0.0
68,145,31,2,10,2024-03-10,20240310,20240310,20240310,completed,2.41,2.2,15.91,,0.0
69,71,15,1,5,2024-02-17,20240217,20240217,20240217,completed,1.45,1.74,7.57,,0.0
70,45,9,1,10,2024-03-04,20240304,20240304,20240304,completed,4.63,1.17,16.25,,0.0
71,132,23,1,7,2024-01-19,20240119,20240119,20240119,completed,10.6,1.66,52.79,2.0,1.67
72,36,19,2,10,2024-03-07,20240307,20240307,20240307,completed,1.96,2.26,13.29,1.0,4.9
73,70,9,1,7,2024-03-22,20240322,20240322,20240322,completed,2.52,1.89,14.29,2.0,3.51
74,159,35,2,3,2024-03-13,20240313,20240313,20240313,completed,2.61,2.09,16.36,,0.0
75,19,21,3,3,2024-03-16,20240316,20240316,20240316,completed,4.11,1.28,15.78,,0.0
76,189,9,1,10,2024-01-05,20240105,20240105,20240105,completed,1.3,2.45,9.56,,0.0
77,108,28,2,3,2024-03-07,20240307,20240307,20240307,completed,8.64,1.61,41.73,,0.0
78,182,46,2,6,2024-01-11,20240111,20240111,20240111,cancelled_driver,1.75,1.98,10.4,1.0,3.68
79,167,7,1,6,2024-03-08,20240308,20240308,20240308,completed,6.11,1.03,18.88,1.0,4.92
80,91,16,3,3,2024-03-09,20240309,20240309,20240309,completed,3.6,1.19,12.85,,0.0
81,90,16,2,3,2024-01-01,20240101,20240101,20240101,completed,4.41,2.17,28.71,2.0,1.86
82,19,33,1,8,2024-03-31,20240331,20240331,20240331,completed,0.99,2.45,7.28,,0.0
83,39,4,3,8,2024-03-03,20240303,20240303,20240303,completed,6.64,1.48,29.48,,0.0
84,126,4,2,7,2024-01-29,20240129,20240129,20240129,completed,1.05,1.06,3.34,2.0,3.13
85,195,39,2,10,2024-03-22,20240322,20240322,20240322,completed,0.6,1.54,2.77,,0.0
86,173,40,3,4,2024-01-12,20240112,20240112,20240112,completed,3.96,1.03,12.24,,0.0
87,141,17,3,4,2024-03-17,20240317,20240317,20240317,completed,6.18,1.29,23.92,,0.0
88,126,37,1,3,2024-02-10,20240210,20240210,20240210,completed,0.26,2.13,1.66,1.0,4.95
89,58,39,1,5,2024-01-02,20240102,20240102,20240102,completed,0.36,2.41,2.6,,0.0
90,148,29,2,3,2024-02-06,20240206,20240206,20240206,completed,8.11,1.13,27.49,,0.0
91,200,36,3,8,2024-02-14,20240214,20240214,20240214,cancelled_user,8.28,1.84,45.71,,0.0
92,61,38,3,7,2024-03-20,20240320,20240320,20240320,completed,1.41,1.38,5.84,1.0,1.86
93,127,39,3,3,2024-02-17,20240217,20240217,20240217,completed,4.78,1.21,17.35,,0.0
94,105,50,2,9,2024-01-24,20240124,20240124,20240124,completed,2.93,1.33,11.69,,0.0
95,167,37,3,5,2024-01-22,20240122,20240122,20240122,completed,5.01,1.87,28.11,,0.0
96,1,35,3,9,2024-01-11,20240111,20240111,20240111,completed,9.93,1.1,32.77,,0.0
97,131,7,2,7,2024-02-27,20240227,20240227,20240227,completed,0.42,1.65,2.08,,0.0
98,92,27,1,7,2024-02-15,20240215,20240215,20240215,completed,7.53,1.2,27.11,,0.0
99,190,28,1,6,2024-01-29,20240129,20240129,20240129,completed,3.4,1.41,14.38,2.0,3.58
100,191,22,2,2,2024-02-04,20240204,20240204,20240204,completed,4.15,1.29,16.06,,0.0
101,113,14,3,9,2024-01-15,20240115,20240115,20240115,completed,5.31,2.32,36.96,1.0,2.69
102,153,7,2,6,2024-02-29,20240229,20240229,20240229,completed,12.8,2.06,79.1,,0.0
103,56,37,1,8,2024-02-11,20240211,20240211,20240211,completed,0.29,2.3,2.0,,0.0
104,161,22,1,1,2024-02-12,20240212,20240212,20240212,completed,0.15,1.58,0.71,2.0,3.77
105,166,5,2,5,2024-03-20,20240320,20240320,20240320,completed,0.98,1.47,4.32,,0.0
106,117,2,2,1,2024-03-14,20240314,20240314,20240314,completed,21.51,1.57,101.31,,0.0
107,134,27,1,10,2024-02-18,20240218,20240218,20240218,cancelled_user,6.28,1.03,19.41,1.0,3.85
108,58,21,2,8,2024-03-04,20240304,20240304,20240304,completed,4.77,2.09,29.91,,0.0
109,44,38,1,8,2024-02-01,20240201,20240201,20240201,completed,0.24,1.52,1.09,2.0,4.61
110,173,15,2,1,2024-03-04,20240304,20240304,20240304,completed,10.56,1.47,46.57,,0.0
111,160,21,2,9,2024-01-02,20240102,20240102,20240102,cancelled_user,8.38,1.9,47.77,,0.0
112,173,10,2,2,2024-01-24,20240124,20240124,20240124,completed,5.47,1.65,27.08,,0.0
113,61,23,1,9,2024-03-27,20240327,20240327,20240327,completed,2.07,2.47,15.34,,0.0
114,47,39,2,1,2024-03-06,20240306,20240306,20240306,completed,0.37,1.53,1.7,,0.0
115,149,5,1,10,2024-02-07,20240207,20240207,20240207,completed,4.34,1.92,25.0,2.0,3.09
116,80,1,1,9,2024-01-31,20240131,20240131,20240131,completed,6.36,1.47,28.05,,0.0
117,118,13,2,4,2024-01-26,20240126,20240126,20240126,completed,0.49,2.49,3.66,,0.0
118,164,21,2,9,2024-01-29,20240129,20240129,20240129,completed,5.02,1.67,25.15,,0.0
119,147,26,1,7,2024-03-07,20240307,20240307,20240307,completed,1.69,1.95,9.89,,0.0
120,20,50,1,6,2024-03-18,20240318,20240318,20240318,cancelled_user,7.22,1.19,25.78,,0.0
121,185,45,3,5,2024-01-25,20240125,20240125,20240125,completed,3.88,2.1,24.44,,0.0
122,146,21,1,9,2024-02-17,20240217,20240217,20240217,completed,0.69,1.4,2.9,2.0,4.14
123,47,18,3,2,2024-03-05,20240305,20240305,20240305,completed,3.74,1.67,18.74,,0.0
124,49,37,3,2,2024-02-22,20240222,20240222,20240222,completed,2.52,2.32,17.54,,0.0
125,14,45,3,9,2024-03-07,20240307,20240307,20240307,completed,0.99,2.46,7.31,2.0,1.47
126,143,32,2,3,2024-03-30,20240330,20240330,20240330,completed,9.21,1.64,45.31,,0.0
127,159,36,2,8,2024-01-18,20240118,20240118,20240118,completed,0.06,2.25,0.4,,0.0
128,1,17,1,9,2024-01-09,20240109,20240109,20240109,completed,1.87,1.08,6.06,,0.0
129,117,35,3,8,2024-02-07,20240207,20240207,20240207,completed,0.06,2.27,0.41,,0.0
130,54,49,2,4,2024-03-27,20240327,20240327,20240327,completed,0.5,1.94,2.91,,0.0
131,118,11,2,1,2024-01-21,20240121,20240121,20240121,completed,1.76,1.73,9.13,,0.0
132,3,21,2,4,2024-03-05,20240305,20240305,20240305,completed,0.28,2.33,1.96,,0.0
133,144,26,2,9,2024-01-21,20240121,20240121,20240121,completed,4.54,2.27,30.92,2.0,3.13
134,185,4,2,2,2024-01-27,20240127,20240127,20240127,completed,0.45,1.45,1.96,,0.0
135,12,34,3,3,2024-03-10,20240310,20240310,20240310,completed,6.05,2.19,39.75,,0.0
136,74,48,3,10,2024-02-13,20240213,20240213,20240213,completed,0.27,1.15,0.93,,0.0
137,16,18,3,8,2024-01-28,20240128,20240128,20240128,completed,0.31,2.23,2.07,,0.0
138,200,40,3,6,2024-02-14,20240214,20240214,20240214,completed,1.82,2.01,10.97,2.0,1.08
139,102,35,1,8,2024-01-17,20240117,20240117,20240117,completed,11.34,1.13,38.44,1.0,1.41
140,152,41,3,7,2024-02-09,20240209,20240209,20240209,cancelled_user,5.13,2.02,31.09,,0.0
141,156,29,2,5,2024-01-03,20240103,20240103,20240103,completed,7.35,1.87,41.23,,0.0
142,117,29,3,9,2024-03-16,20240316,20240316,20240316,completed,0.76,1.89,4.31,,0.0
143,8,38,1,4,2024-03-16,20240316,20240316,20240316,completed,8.98,1.44,38.79,,0.0
144,122,42,2,6,2024-03-06,20240306,20240306,20240306,completed,0.04,1.4,0.17,2.0,2.4
145,92,21,3,2,2024-02-15,20240215,20240215,20240215,completed,1.2,2.14,7.7,2.0,4.16
146,164,42,3,2,2024-03-26,20240326,20240326,20240326,completed,4.79,1.39,19.97,,0.0
147,90,13,3,2,2024-03-27,20240327,20240327,20240327,completed,2.35,1.67,11.77,2.0,2.78
148,136,49,2,10,2024-01-30,20240130,20240130,20240130,completed,20.74,2.04,126.93,,0.0
149,186,41,2,7,2024-03-09,20240309,20240309,20240309,completed,0.15,1.12,0.5,2.0,3.48
150,60,17,1,2,2024-01-09,20240109,20240109,20240109,completed,32.85,1.89,186.26,,0.0
151,178,9,2,2,2024-03-25,20240325,20240325,20240325,completed,4.89,1.88,27.58,1.0,1.31
152,28,41,2,9,2024-01-11,20240111,20240111,20240111,completed,4.09,2.03,24.91,2.0,3.66
153,101,1,3,7,2024-03-09,20240309,20240309,20240309,cancelled_user,0.31,1.55,1.44,,0.0
154,41,2,2,3,2024-03-31,20240331,20240331,20240331,completed,1.6,1.67,8.02,,0.0
155,192,48,3,3,2024-03-06,20240306,20240306,20240306,completed,12.93,1.49,57.8,2.0,1.16
156,155,29,3,7,2024-03-28,20240328,20240328,20240328,completed,2.19,2.21,14.52,,0.0
157,191,33,2,5,2024-01-31,20240131,20240131,20240131,completed,5.42,1.2,19.51,2.0,1.27
158,145,10,1,10,2024-02-02,20240202,20240202,20240202,cancelled_user,37.97,2.44,277.94,,0.0
159,161,50,1,6,2024-02-08,20240208,20240208,20240208,cancelled_user,1.53,1.95,8.95,2.0,2.57
160,157,40,2,8,2024-02-15,20240215,20240215,20240215,completed,4.29,2.33,29.99,2.0,2.46
161,141,21,1,9,2024-02-06,20240206,20240206,20240206,cancelled_user,5.96,1.64,29.32,,0.0
162,46,28,3,1,2024-02-29,20240229,20240229,20240229,completed,0.9,1.5,4.05,2.0,4.83
163,35,11,3,3,2024-01-31,20240131,20240131,20240131,completed,0.8,2.35,5.64,,0.0
164,134,34,2,7,2024-01-11,20240111,20240111,20240111,cancelled_user,3.05,1.15,10.52,2.0,2.88
165,82,8,1,6,2024-03-27,20240327,20240327,20240327,completed,2.44,1.18,8.64,,0.0
166,115,22,1,7,2024-01-02,20240102,20240102,20240102,completed,6.26,1.45,27.23,2.0,3.32
167,197,8,3,8,2024-01-27,20240127,20240127,20240127,completed,0.36,2.44,2.64,2.0,3.77
168,47,49,2,6,2024-01-02,20240102,20240102,20240102,cancelled_driver,17.91,1.95,104.77,1.0,4.32
169,153,15,1,3,2024-01-21,20240121,20240121,20240121,completed,0.07,1.83,0.38,,0.0
170,194,17,2,2,2024-02-27,20240227,20240227,20240227,cancelled_user,4.6,2.06,28.43,,0.0
171,10,23,1,7,2024-01-05,20240105,20240105,20240105,completed,4.13,1.63,20.2,,0.0
172,56,24,3,1,2024-02-21,20240221,20240221,20240221,completed,0.72,2.14,4.62,,0.0
173,30,45,3,3,2024-02-14,20240214,20240214,20240214,cancelled_user,0.82,1.59,3.91,,0.0
174,109,19,2,4,2024-03-25,20240325,20240325,20240325,completed,7.87,2.24,52.89,,0.0
175,5,5,3,1,2024-01-20,20240120,20240120,20240120,cancelled_user,10.93,1.4,45.91,1.0,4.98
176,119,32,1,5,2024-03-01,20240301,20240301,20240301,completed,1.66,1.42,7.07,2.0,2.97
177,33,44,3,10,2024-02-07,20240207,20240207,20240207,completed,2.88,1.78,15.38,,0.0
178,118,1,2,3,2024-01-20,20240120,20240120,20240120,completed,2.19,1.65,10.84,,0.0
179,65,23,2,2,2024-01-25,20240125,20240125,20240125,completed,0.38,1.97,2.25,1.0,4.58
180,146,37,2,3,2024-01-02,20240102,20240102,20240102,completed,5.59,1.55,25.99,,0.0
181,177,8,1,8,2024-02-01,20240201,20240201,20240201,cancelled_driver,8.72,1.35,35.32,,0.0
182,11,13,1,6,2024-01-26,20240126,20240126,20240126,cancelled_driver,1.82,1.7,9.28,,0.0
183,85,8,1,7,2024-03-10,20240310,20240310,20240310,completed,23.11,1.84,127.57,2.0,4.68
184,26,23,1,6,2024-02-10,20240210,20240210,20240210,cancelled_driver,0.39,1.21,1.42,,0.0
185,63,43,1,6,2024-03-07,20240307,20240307,20240307,cancelled_user,5.42,1.84,29.92,1.0,4.07
186,86,1,3,3,2024-01-01,20240101,20240101,20240101,completed,2.97,1.48,13.19,1.0,2.51
187,59,45,1,8,2024-02-20,20240220,20240220,20240220,completed,2.96,1.59,14.12,,0.0
188,27,24,1,7,2024-01-05,20240105,20240105,20240105,cancelled_user,3.06,1.42,13.04,2.0,4.16
189,177,35,3,7,2024-01-13,20240113,20240113,20240113,completed,1.5,2.4,10.8,2.0,4.0
190,161,24,1,6,2024-01-19,20240119,20240119,20240119,cancelled_user,6.29,2.03,38.31,2.0,4.88
191,98,17,2,5,2024-01-12,20240112,20240112,20240112,cancelled_user,6.39,1.39,26.65,,0.0
192,105,5,1,10,2024-02-17,20240217,20240217,20240217,cancelled_user,1.66,1.97,9.81,1.0,3.44
193,99,20,1,8,2024-01-25,20240125,20240125,20240125,completed,9.02,2.27,61.43,2.0,4.64
194,129,21,2,5,2024-02-26,20240226,20240226,20240226,completed,1.91,1.6,9.17,,0.0
195,149,40,2,9,2024-02-04,20240204,20240204,20240204,completed,6.46,2.24,43.41,,0.0
196,55,31,2,9,2024-03-16,20240316,20240316,20240316,completed,0.64,1.23,2.36,,0.0
197,6,46,2,1,2024-01-05,20240105,20240105,20240105,completed,0.92,2.23,6.15,2.0,3.61
198,197,36,1,6,2024-01-22,20240122,20240122,20240122,completed,1.9,1.81,10.32,2.0,3.11
199,95,11,2,7,2024-03-17,20240317,20240317,20240317,completed,4.51,1.33,17.99,,0.0
200,133,15,2,3,2024-02-26,20240226,20240226,20240226,cancelled_user,5.19,1.61,25.07,1.0,4.53
201,102,19,3,7,2024-02-16,20240216,20240216,20240216,completed,2.52,2.48,18.75,,0.0
202,3,7,2,7,2024-02-23,20240223,20240223,20240223,completed,0.41,2.18,2.68,,0.0
203,181,28,2,2,2024-01-03,20240103,20240103,20240103,completed,2.34,1.86,13.06,1.0,3.69
204,23,43,3,7,2024-02-22,20240222,20240222,20240222,completed,5.84,1.17,20.5,,0.0
205,53,5,3,1,2024-03-24,20240324,20240324,20240324,completed,5.56,1.63,27.19,1.0,1.36
206,165,5,1,5,2024-01-31,20240131,20240131,20240131,completed,0.87,1.39,3.63,,0.0
207,83,30,3,9,2024-03-09,20240309,20240309,20240309,completed,0.04,1.11,0.13,,0.0
208,145,32,1,7,2024-03-28,20240328,20240328,20240328,completed,6.99,1.81,37.96,,0.0
209,85,8,3,7,2024-02-02,20240202,20240202,20240202,completed,0.56,2.33,3.91,1.0,1.03
210,78,10,3,2,2024-03-12,20240312,20240312,20240312,cancelled_user,0.43,2.01,2.59,2.0,1.73
211,110,38,1,8,2024-03-28,20240328,20240328,20240328,cancelled_user,0.01,1.37,0.04,2.0,2.32
212,1,47,3,3,2024-02-19,20240219,20240219,20240219,cancelled_driver,2.83,1.86,15.79,2.0,3.15
213,51,32,1,8,2024-03-24,20240324,20240324,20240324,cancelled_user,3.5,2.41,25.3,,0.0
214,173,48,3,3,2024-01-16,20240116,20240116,20240116,cancelled_user,5.08,2.08,31.7,,0.0
215,4,28,2,10,2024-03-16,20240316,20240316,20240316,cancelled_user,1.76,2.03,10.72,,0.0
216,190,17,3,7,2024-03-17,20240317,20240317,20240317,completed,6.2,2.45,45.57,,0.0
217,193,31,1,2,2024-02-08,20240208,20240208,20240208,completed,0.93,2.2,6.14,,0.0
218,113,8,3,4,2024-03-29,20240329,20240329,20240329,completed,8.92,1.2,32.11,,0.0
219,32,40,1,6,2024-02-15,20240215,20240215,20240215,completed,4.24,1.52,19.33,1.0,2.84
220,34,25,1,9,2024-03-28,20240328,20240328,20240328,completed,4.38,2.45,32.19,,0.0
221,92,9,2,5,2024-02-16,20240216,20240216,20240216,completed,1.18,1.73,6.12,,0.0
222,95,2,2,9,2024-02-13,20240213,20240213,20240213,cancelled_user,0.38,1.17,1.33,,0.0
223,72,15,1,5,2024-01-09,20240109,20240109,20240109,cancelled_driver,3.12,1.69,15.82,,0.0
224,39,50,3,10,2024-03-27,20240327,20240327,20240327,completed,4.78,2.05,29.4,,0.0
225,154,3,1,8,2024-02-19,20240219,20240219,20240219,completed,0.5,2.5,3.75,2.0,1.94
226,162,49,1,1,2024-03-17,20240317,20240317,20240317,cancelled_driver,15.03,1.49,67.18,,0.0
227,182,36,3,7,2024-02-29,20240229,20240229,20240229,completed,19.66,1.77,104.39,1.0,3.36
228,118,4,3,4,2024-01-15,20240115,20240115,20240115,completed,3.94,2.32,27.42,,0.0
229,3,14,3,5,2024-02-05,20240205,20240205,20240205,completed,14.99,1.53,68.8,,0.0
230,123,41,3,6,2024-03-03,20240303,20240303,20240303,completed,0.99,1.16,3.45,,0.0
231,50,41,1,5,2024-03-09,20240309,20240309,20240309,completed,0.13,2.42,0.94,,0.0
232,12,25,1,1,2024-03-26,20240326,20240326,20240326,cancelled_user,0.2,1.73,1.04,,0.0
233,193,50,2,9,2024-03-20,20240320,20240320,20240320,completed,4.43,1.75,23.26,2.0,4.15
234,54,10,1,2,2024-02-10,20240210,20240210,20240210,completed,0.32,1.93,1.85,1.0,4.47
235,133,21,3,9,2024-03-14,20240314,20240314,20240314,completed,15.92,1.01,48.24,,0.0
236,57,36,2,10,2024-01-24,20240124,20240124,20240124,completed,0.77,2.4,5.54,1.0,2.43
237,145,12,3,2,2024-03-22,20240322,20240322,20240322,cancelled_driver,1.82,1.54,8.41,1.0,3.56
238,112,27,1,9,2024-02-18,20240218,20240218,20240218,completed,8.64,1.6,41.47,2.0,1.14
239,47,40,2,6,2024-01-18,20240118,20240118,20240118,completed,1.23,1.26,4.65,,0.0
240,151,2,3,9,2024-01-07,20240107,20240107,20240107,completed,1.39,1.57,6.55,1.0,3.11
241,85,13,2,6,2024-01-04,20240104,20240104,20240104,completed,5.14,2.21,34.08,,0.0
242,142,32,2,6,2024-03-30,20240330,20240330,20240330,completed,1.62,2.2,10.69,,0.0
243,66,31,1,2,2024-03-09,20240309,20240309,20240309,completed,1.23,2.4,8.86,,0.0
244,75,16,3,8,2024-02-29,20240229,20240229,20240229,completed,1.47,1.6,7.06,1.0,4.97
245,179,32,2,3,2024-02-24,20240224,20240224,20240224,completed,3.37,2.06,20.83,,0.0
246,103,32,2,7,2024-01-16,20240116,20240116,20240116,completed,16.92,1.76,89.34,,0.0
247,166,34,3,5,2024-03-30,20240330,20240330,20240330,cancelled_driver,8.93,2.21,59.21,,0.0
248,192,11,2,3,2024-03-22,20240322,20240322,20240322,cancelled_user,1.67,2.07,10.37,,0.0
249,38,10,2,1,2024-01-29,20240129,20240129,20240129,completed,2.26,1.55,10.51,,0.0
250,50,15,2,8,2024-01-23,20240123,20240123,20240123,completed,3.12,1.51,14.13,1.0,1.92
251,98,17,3,3,2024-01-14,20240114,20240114,20240114,completed,19.3,1.38,79.9,,0.0
252,82,40,3,2,2024-03-19,20240319,20240319,20240319,cancelled_user,0.95,1.86,5.3,1.0,2.07
253,30,18,3,1,2024-02-18,20240218,20240218,20240218,completed,2.21,2.45,16.24,2.0,4.94
254,79,9,3,4,2024-02-02,20240202,20240202,20240202,completed,6.54,1.3,25.51,,0.0
255,91,25,1,8,2024-01-25,20240125,20240125,20240125,completed,16.61,1.14,56.81,,0.0
256,179,40,2,3,2024-01-21,20240121,20240121,20240121,cancelled_user,0.85,1.18,3.01,1.0,4.16
257,191,14,3,1,2024-01-17,20240117,20240117,20240117,completed,1.29,2.17,8.4,,0.0
258,52,25,2,4,2024-01-23,20240123,20240123,20240123,completed,1.28,1.53,5.88,,0.0
259,166,50,2,9,2024-02-26,20240226,20240226,20240226,completed,0.11,1.34,0.44,1.0,1.83
260,79,22,1,1,2024-03-21,20240321,20240321,20240321,completed,4.63,1.53,21.25,,0.0
261,30,30,3,2,2024-02-27,20240227,20240227,20240227,completed,5.55,1.97,32.8,2.0,3.19
262,106,20,3,9,2024-01-14,20240114,20240114,20240114,cancelled_user,4.61,1.82,25.17,2.0,4.68
263,51,21,2,2,2024-01-20,20240120,20240120,20240120,cancelled_user,0.37,2.12,2.35,2.0,4.97
264,81,44,3,3,2024-01-30,20240130,20240130,20240130,completed,0.36,1.51,1.63,1.0,2.15
265,133,32,2,7,2024-01-19,20240119,20240119,20240119,cancelled_user,1.18,1.68,5.95,2.0,3.79
266,29,46,2,3,2024-02-22,20240222,20240222,20240222,completed,1.71,1.15,5.9,1.0,3.39
267,132,49,1,9,2024-02-25,20240225,20240225,20240225,completed,7.72,1.11,25.71,,0.0
268,138,21,1,6,2024-03-17,20240317,20240317,20240317,completed,0.87,1.69,4.41,,0.0
269,184,35,1,3,2024-03-22,20240322,20240322,20240322,cancelled_driver,0.23,1.45,1.0,,0.0
270,145,32,2,9,2024-01-23,20240123,20240123,20240123,completed,2.5,1.92,14.4,,0.0
