user_id,signup_date,cohort_month,country,acquisition_channel
137,2024-01-15,2024-01-01,Country_A,Paid
138,2024-02-12,2024-02-01,Country_A,Paid
139,2024-01-29,2024-01-01,Country_A,Referral
140,2024-02-05,2024-02-01,Country_A,Paid
141,2024-01-13,2024-01-01,Country_A,Paid
142,2024-02-01,2024-02-01,Country_A,Referral
143,2024-03-11,2024-03-01,Country_A,Paid
144,2024-02-28,2024-02-01,Country_A,Referral
145,2024-03-26,2024-03-01,Country_A,Paid
146,2024-01-28,2024-01-01,Country_A,Referral
147,2024-03-06,2024-03-01,Country_A,Referral
148,2024-02-11,2024-02-01,Country_A,Paid
149,2024-02-14,2024-02-01,Country_A,Paid
150,2024-03-02,2024-03-01,Country_A,Paid
151,2024-02-26,2024-02-01,Country_A,Organic
152,2024-01-06,2024-01-01,Country_A,Organic
153,2024-01-28,2024-01-01,Country_A,Organic
154,2024-01-28,2024-01-01,Country_A,Referral
155,2024-02-13,2024-02-01,Country_A,Paid
156,2024-03-24,2024-03-01,Country_A,Referral
157,2024-01-30,2024-01-01,Country_A,Organic
158,2024-03-02,2024-03-01,Country_A,Paid
159,2024-03-15,2024-03-01,Country_A,Referral
160,2024-03-29,2024-03-01,Country_A,Paid
161,2024-03-02,2024-03-01,Country_A,Referral
162,2024-01-01,2024-01-01,Country_A,Paid
163,2024-01-27,2024-01-01,Country_A,Organic
164,2024-03-02,2024-03-01,Country_A,Organic
165,2024-03-17,2024-03-01,Country_A,Paid
166,2024-01-03,2024-01-01,Country_A,Referral
167,2024-03-10,2024-03-01,Country_A,Organic
168,2024-03-12,2024-03-01,Country_A,Organic
169,2024-01-27,2024-01-01,Country_A,Organic
170,2024-01-09,2024-01-01,Country_A,Paid
171,2024-03-02,2024-03-01,Country_A,Paid
172,2024-02-06,2024-02-01,Country_A,Referral
173,2024-02-20,2024-02-01,Country_A,Referral
174,2024-02-13,2024-02-01,Country_A,Referral
175,2024-01-24,2024-01-01,Country_A,Paid
176,2024-03-19,2024-03-01,Country_A,Paid
177,2024-02-28,2024-02-01,Country_A,Referral
178,2024-02-01,2024-02-01,Country_A,Referral
179,2024-03-28,2024-03-01,Country_A,Paid
180,2024-02-21,2024-02-01,Country_A,Referral
181,2024-03-02,2024-03-01,Country_A,Organic
182,2024-02-27,2024-02-01,Country_A,Paid
183,2024-02-21,2024-02-01,Country_A,Referral
184,2024-01-12,2024-01-01,Country_A,Paid
185,2024-02-08,2024-02-01,Country_A,Organic
186,2024-01-02,2024-01-01,Country_A,Paid
187,2024-01-03,2024-01-01,Country_A,Paid
188,2024-02-25,2024-02-01,Country_A,Paid
189,2024-03-21,2024-03-01,Country_A,Paid
190,2024-02-28,2024-02-01,Country_A,Organic
191,2024-01-02,2024-01-01,Country_A,Paid
192,2024-01-02,2024-01-01,Country_A,Paid
193,2024-02-23,2024-02-01,Country_A,Referral
194,2024-03-27,2024-03-01,Country_A,Paid
195,2024-01-01,2024-01-01,Country_A,Referral
196,2024-01-19,2024-01-01,Country_A,Organic
197,2024-01-02,2024-01-01,Country_A,Organic
198,2024-02-22,2024-02-01,Country_A,Organic
199,2024-02-13,2024-02-01,Country_A,Organic
200,2024-03-30,2024-03-01,Country_A,Referral
